term,overlap_term
结肠,"['(左结肠系膜根根部)淋巴结', '横结肠中段', '肝曲结肠', '结肠脾曲', '直肠乙状结肠', '肠壁一站(19个)、二站(13个)、三站(69个);“结肠中动脉”(1个)淋巴结', '肝区结肠', '乙状结肠', '降结肠', '升结肠近肝曲', '横结肠', '(结肠中动脉根部)淋巴结', '横结肠中段偏左', '(回结肠动脉根部)淋巴结', '升结肠系膜', '左结肠旁', '乙状结肠肠脂垂', '乙状结肠壁', '结肠旁沟', '横结肠近脾区肠壁', '升结肠中段', '降结肠末端', '乙状结肠上段', '右结肠根部淋巴结', '降结肠中段', '结肠中血管右支根部淋巴结', '乙状结肠系膜间及根部', '结肠肝曲', '升结肠肠管', '左结肠动脉旁淋巴结', '结肠中动、静脉', '结肠周围淋巴结', '升结肠肠周', '左半结肠系膜区淋巴结', '右结肠', '乙状结肠中段', '直肠-乙状结肠交界处', '结肠肝区', '结肠肝', '右侧结肠旁沟', '横结结肠', '结肠下动脉根部', '结肠周淋巴结', '降结肠近脾曲', '乙状结肠降结肠交界处', '(回结结肠系膜肠系膜根部)淋巴结', '左半结肠', '胃结肠韧带', '升结肠', '乙状结肠血管根部', '淋巴结未见癌转移(肠周0/13,结肠中血管旁0/2)', '右半结肠']"
腔静脉旁,['上腔静脉旁淋巴结']
十二指肠,"['“第十二组”(5个)、“肝十二指肠韧带”(1个)淋巴结', '十二指肠乳头部', '十二指肠球部', '十二指肠降段起始部', '十二指肠第1段', '十二指肠粘膜上层', '胰十二指肠', '十二指肠大乳头', '(肝十二指肠韧带)淋巴结', '十二指肠韧带', '肝十二指肠韧带', '十二指肠粘膜', '十二指肠乳头', '十二指肠腹壶', '十二指肠降部、水平部', '十二指肠降段', '十二指肠-胃窦部', '十二指肠降部', '十二指肠壁']"
三尖瓣,['二、三尖瓣']
胃右动脉,"['(胃右动脉旁)淋巴结', '胃右动脉旁、隆突上淋巴结', '胃右动脉根部淋巴结', '胃右动脉旁淋巴结', '“上段食管旁”(3个)、“贲门周围”(4个)、“胃右动脉旁”(8个)淋巴结', '(胃右动脉根部)淋巴结']"
肾下腺,"['右侧肾下腺内侧肢', '左侧肾下腺', '两肾下腺', '右侧肾下腺', '右肾下腺', '双侧肾下腺']"
右附件,['右附件区']
壶腹部,['输卵管壶腹部']
两侧髂血管,"['两侧髂血管旁淋巴结', '两侧髂血管旁']"
肠,"['肠壁二站(2个)、中间组(4个)淋巴结', '“第十二组”(5个)、“肝十二指肠韧带”(1个)淋巴结', '肠系膜上根部血管', '十二指肠乳头部', '(左结肠系膜根根部)淋巴结', '十二指肠球部', '肠周纤维脂肪', '十二指肠降段起始部', '横结肠中段', '肝曲结肠', '肠系膜根部淋巴结', '直肠下动脉', '肠壁二站(3个)淋巴结', '结肠脾曲', '直肠乙状结肠', '近端小肠', '结肠', '十二指肠', '(直肠下动脉根部)淋巴结', '肠壁三站(2个)淋巴结', '直肠前前壁', '直肠子宫陷凹', '直肠中、上段', '肠壁一站(10个)淋巴结', '(空肠系膜)淋巴结', '肠管', '肠壁一站(19个)、二站(13个)、三站(69个);“结肠中动脉”(1个)淋巴结', '肠系膜下动静脉', '肠旁淋巴结', '肠系膜上动脉', '肠壁外膜层', '肝区结肠', '乙状结肠', '降结肠', '升结肠近肝曲', '(肠系膜动脉根部)淋巴结', '直肠周小淋巴结', '横结肠', '(结肠中动脉根部)淋巴结', '胃肠', '十二指肠第1段', '横结肠中段偏左', '直肠下动脉旁染色淋巴结2', '(肠系膜上动脉)淋巴结', '肠系膜上动脉根部', '小肠', '肠壁一站(4/10个)淋巴结', '回肠周淋巴结', '(回结肠动脉根部)淋巴结', '小肠管壁', '肠壁一站(2/6个)、二站(1/1个)、“肠系膜根部”(1/1个)、“肠系膜中动脉根部”(2/2个)淋巴结', '肠壁一站(10个)、中间组(8个)淋巴结', '升结肠系膜', '直肠中上段', '(肠系膜上a根部)淋巴结', '右中上腹小肠', '直肠下动脉旁染色淋巴结1', '左结肠旁', '胃-空肠吻合处', '肠壁一站(8个)、二站(4个)、三站(3个)、中间组(5个)淋巴结', '乙状结肠肠脂垂', '乙状结肠壁', '十二指肠粘膜上层', '结肠旁沟', '横结肠近脾区肠壁', '直肠远端', '直肠下动脉旁淋巴结', '升结肠中段', '降结肠末端', '直肠前缘', '乙状结肠上段', '肠壁淋巴结', '腹膜反折下2cm处直肠', '直肠旁淋巴结', '肠壁', '胃肠道', '右结肠根部淋巴结', '降结肠中段', '回肠', '结肠中血管右支根部淋巴结', '乙状结肠系膜间及根部', '直肠上段', '末端回肠', '直肠腹膜反折处', '直肠壁', '肠壁脂肪中淋巴结', '小肠系膜根肠系膜根部淋巴结', '肠系膜血管旁淋巴结', '肠周淋巴结', '肠系膜淋巴结', '结肠肝曲', '(肠系膜根部)淋巴结', '升结肠肠管', '盲肠', '(肠系膜上动脉根部)淋巴结', '肠壁及淋巴结', '淋巴结可见癌转移(肠周1/13,直肠下动脉旁0/1)', '肠壁全层', '肠壁二站(2个)淋巴结', '肠壁一站(1/22个)淋巴结', '肠壁一站(3个)淋巴结', '胰十二指肠', '肠壁一站(8/14个)淋巴结', '左结肠动脉旁淋巴结', '胃肠吻合口', '结肠中动、静脉', '结肠周围淋巴结', '肠系膜下动、静脉血管', '肠系膜根部', '肠壁一站(6个)、中间组(3个)、中央组(3个)淋巴结', '升结肠肠周', '肠壁一站(7个)、中间组(6个)淋巴结', '子宫直肠窝', '肠系膜上动脉根部淋巴结', '左半结肠系膜区淋巴结', '膀胱直肠陷窝', '右结肠', '直肠上缘', '肠系膜', '左中腹部肠系膜间', '乙状结肠中段', '十二指肠大乳头', '肠管系膜', '直肠-乙状结肠交界处', '空肠', '肠系膜下动脉', '肠管周围淋巴结', '结肠肝区', '直肠下段', '结直肠', '肠区', '肠道', '结肠肝', '右侧结肠旁沟', '(肝十二指肠韧带)淋巴结', '横结结肠', '(回肠动脉根部)淋巴结', '结肠下动脉根部', '(空肠)肠壁', '结肠周淋巴结', '十二指肠韧带', '降结肠近脾曲', '近端肠管', '子宫直肠陷凹', '乙状结肠降结肠交界处', '肛肠', '小肠系膜', '肠壁一站(1/5个)淋巴结', '大小肠', '(回结结肠系膜肠系膜根部)淋巴结', '左半结肠', '肠系膜及腹膜后淋巴结', '胃结肠韧带', '回肠末端', '盲肠后方', '直肠窝', '(肠系膜上血管旁)淋巴结', '直肠', '肠周', '肝十二指肠韧带', '肠壁一站(13个)、二站(10个)淋巴结', '胃空肠', '直肠前壁', '升结肠', '乙状结肠血管根部', '肠壁二站(4个)、中央组(2个)淋巴结', '十二指肠粘膜', '肠周查见淋巴结', '十二指肠乳头', '十二指肠腹壶', '肠系膜上血管根部', '十二指肠降部、水平部', '十二指肠降段', '空回肠', '十二指肠-胃窦部', '盲肠部', '肠壁一站(1/17个)淋巴结', '十二指肠降部', '淋巴结未见癌转移(肠周0/13,结肠中血管旁0/2)', '直肠系膜根部', '右半结肠', '肠腔', '大肠', '肠壁下淋巴结', '十二指肠壁', '肠壁浆膜上层', '肠壁一站(7/8个)、二站(1/3个)、中间组(1/2个)淋巴结']"
胰腺,"['胃窦部与胰腺之间淋巴结', '胰腺周淋巴结', '胰腺体部及尾部', '胰腺导管', '胰腺周围淋巴结', '胰腺尾部', '胰腺被膜', '胰腺体部', '胰腺体尾部']"
皮上,['头部皮上']
脾静脉,['门静脉与脾静脉交汇处']
胃周,"['胃周围(2个)淋巴结', '胃周淋巴结', '胃周小弯侧']"
左侧输卵管,['左侧输卵管伞部']
子宫内膜,['子宫内膜及肌层']
右上肺,['(右上肺门)淋巴结']
腹,"['两侧腹股沟', '输卵管壶腹部', '左侧腹腔', '腹膜后多发小淋巴', '前腹壁', '右侧腹股沟', '上腹正中', '腹膜后', '(右侧腹股沟)淋巴结', '腰腹', '壶腹部', '下腹正中', '左下腹部', '右上腹', '右上腹部', '腹腔', '腹部淋巴结', '腹部', '腹腔动脉', '右侧腹腔', '下腹', '腹腔肝门区', '左上腹部', '腹股沟', '左腹', '腹腔淋巴结', '右侧腹', '腹股沟淋巴结', '左侧下腹', '腹主动脉旁', '右中上腹小肠', '左侧腹股沟', '中下腹部', '右侧中上腹', '胸腹', '左中上腹', '腹膜反折', '腹膜反折下2cm处直肠', '腹腔镜探查,根治性全胃切除术', '右下下腹部', '右锁骨下、两侧腹股沟淋巴结', '(腹主动脉旁)淋巴结', '腹主+髂总淋巴结', '腹膜后多发淋巴结', '左前腹', '直肠腹膜反折处', '腹股沟区', '左上腹', '右腹', '腹盆腔', '中上腹', '腹主动脉右前方', '左侧腹股沟区', '腹主动脉', '腹盆壁', '右腹股沟', '(腹腔动脉旁)淋巴结', '两侧腹股沟淋巴结', '胸腹盆', '右腹股沟区', '左侧髂血管旁及左侧腹股沟淋巴结', '左侧腹部', '腹主动脉淋巴结', '左腹股沟', '中上腹部', '腹主a', '盆腹腔', '腹主动脉旁淋巴结', '腹膜外左髂窝', '腹腔干旁', '腹膜返折', '腹膜后小淋巴结', '胸腹部', '腹膜后淋巴结', '腹主动脉右旁淋巴结', '左中腹部肠系膜间', '左下腹', '壶腹', '下腹部', '脐上腹部', '腹壁', '左腹腔', '中下腹', '腹直肌', '肠系膜及腹膜后淋巴结', '右中上腹', '上腹部', '十二指肠腹壶', '腹腔干', '左侧腹', '右侧腹直肌', '上腹', '腹膜', '右下腹', '下腹部贲门周围一淋巴结', '左腹股沟区', '左腹股沟淋巴结']"
肝s4,['肝s4、s5/8']
肠管,"['小肠管壁', '升结肠肠管', '肠管系膜', '肠管周围淋巴结', '近端肠管']"
胸骨,"['胸骨后', '胸骨柄', '右侧腋窝、两侧锁骨下窝、胸骨下窝小淋巴结', '胸骨上段']"
胃,"['胃壁浆膜上层', '胃区', '胃窦部与胰腺之间淋巴结', '胃周围(2个)淋巴结', '(胃大弯)淋巴结', '胃右动脉', '胃窦腔', '胃体窦', '胃周', '(胃右动脉旁)淋巴结', '胃脘部', '胃型粘膜', '胃周淋巴结', '胃壁全层', '胃肠', '“胃第六组”(1个)淋巴结', '胃体下段至胃底贲门部', '胃角', '近端胃腔', '小弯侧胃', '胃第八组淋巴结', '胃窦部小弯侧', '胃底贲门', '胃小弯淋巴结', '胃体小弯侧', '胃小弯、大弯淋巴结', '胃体大弯', '胃窦大弯侧', '胃-空肠吻合处', '肝胃韧带', '胃食管', '胃腔', '肝胃间隙', '胃肠道', '胃窦幽门部', '腹腔镜探查,根治性全胃切除术', '胃体部', '胃体大弯侧', '胃窦中段大弯', '胃右动脉旁、隆突上淋巴结', '远端胃大部', '“胃第六组”(1/1)淋巴结', '胃体', '胃右动脉根部淋巴结', '胃窦壁', '胃窦', '胃部', '胃体前壁偏小弯侧', '胃体部大弯、小弯壁', '贲门左(3/3)、叒胃小弯(8/9)、幽门上(2/2)淋巴结', '胃窦部', '胃窦小弯侧', '胃引流静脉', '(胃右a根部)淋巴结', '胃壁深肌层', '胃大弯后壁', '胃壁', '胃黏膜', '胃底粘膜', '胃右动脉旁淋巴结', '胃粘膜', '胃小弯侧胃角', '胃体小弯侧前壁', '胃窦部大弯侧', '胃大、小弯淋巴', '胃肠吻合口', '胃小弯', '胃底部', '胃窦后壁', '贲门胃体下段小弯侧', '胃周小弯侧', '胃窦幽门管', '胃大小弯淋巴结', '(胃壁)淋巴结', '胃食管结合部', '纵膈及所摄入右锁骨窝区、肝胃间隙多发肿大淋巴结', '胃窦小弯', '胃小弯侧', '胃底', '三组(3/3个)、四组(11/17个)、六组(9/11个)、“胃1、3、7组”(2/5个)淋巴结', '胃壁浆膜层', '胃大小弯侧', '胃大体', '胃贲门部', '“上段食管旁”(3个)、“贲门周围”(4个)、“胃右动脉旁”(8个)淋巴结', '胃窦、胃体交界', '胃大弯脂肪', '胃结肠韧带', '胃大、小弯淋巴结', '(胃右动脉根部)淋巴结', '第三组(4个)、第四组(4个)、“胃第七组”(1个)淋巴结', '胃空肠', '食管胃交界', '胃小弯侧淋巴结', '肝总动脉旁(0/1)、叒胃大弯(0/1)淋巴结', '十二指肠-胃窦部', '远端胃', '胃小弯侧胃壁', '胃体上部大弯侧']"
小腿前部,['右小腿前部']
左肝,"['左肝vii段膈面', '肝总管右左肝管分叉', '右、左肝交界处', '左肝管', '右左肝管']"
肾门,['肾门部血管']
右上腹,['右上腹部']
肠旁淋巴结,['直肠旁淋巴结']
关节,"['全身肌肉关节', '骶髂关节面', '骨关节', '右肩关节', '踝关节', '下、上肢关节']"
左髂总淋巴结,['右髂总及左髂总淋巴结']
肠系膜上动脉,"['(肠系膜上动脉)淋巴结', '肠系膜上动脉根部', '(肠系膜上动脉根部)淋巴结', '肠系膜上动脉根部淋巴结']"
腹腔,"['左侧腹腔', '腹腔动脉', '右侧腹腔', '腹腔肝门区', '腹腔淋巴结', '腹腔镜探查,根治性全胃切除术', '(腹腔动脉旁)淋巴结', '盆腹腔', '腹腔干旁', '左腹腔', '腹腔干']"
右侧胸,"['右侧胸部', '右侧胸腔', '右侧胸壁胸膜', '右侧胸膜']"
左盆腔淋巴结,['右、左盆腔淋巴结']
腹部,"['输卵管壶腹部', '壶腹部', '左下腹部', '右上腹部', '腹部淋巴结', '左上腹部', '中下腹部', '右下下腹部', '左侧腹部', '中上腹部', '胸腹部', '左中腹部肠系膜间', '下腹部', '脐上腹部', '上腹部', '下腹部贲门周围一淋巴结']"
右肾,"['右肾下腺', '右肾盂', '右肾下极']"
髂总血管,['右侧髂总血管']
齿状线,['贲门齿状线下部分食管']
右侧输卵管,['右侧输卵管粘膜']
腹腔动脉,['(腹腔动脉旁)淋巴结']
乙状结肠,"['直肠乙状结肠', '乙状结肠肠脂垂', '乙状结肠壁', '乙状结肠上段', '乙状结肠系膜间及根部', '乙状结肠中段', '直肠-乙状结肠交界处', '乙状结肠降结肠交界处', '乙状结肠血管根部']"
颈,"['宫颈部', '右颈', '左颈淋巴结', '左侧颈部淋巴结', '左侧颈内动脉', '右侧颈部', '左颈根至锁骨下淋巴结', '颈腺', '子宫颈', '右颈部', '右颈根部', '宫颈口', '右颈转移淋巴结', '左侧上颈部', '宫颈3、6、9、11点', '颈部iv区', '颈内动脉', '宫颈及颈管', '左颈部淋巴结', '右侧颈内动脉', '右颈肿大淋巴结', '左颈部', '右颈根', '右侧颈', '右颈部v区', '子宫宫颈', '颈部', '宫颈内口', '两颈部', '右侧颈动脉', '宫颈管', '右下颈', '两侧颈动脉鞘间隙', '颈管', '右颈ii区淋巴结', '右颈部至锁骨下', '左颈', '子宫颈颈管内口', '颈部淋巴结', '宫颈下唇', '左侧颈部', '宫颈前唇', '(颈段食管旁)淋巴结', '右锁骨下及左中颈淋巴结', '右颈至锁骨下', '颈动脉', '两侧颈动脉', '右股骨颈', '右颈iv、v叒区淋巴结', '宫颈后唇', '右侧颈部vi区及iv区小淋巴结', '子宫颈外口', '左侧颈动脉中段', '颈根部及下中纵隔食管', '(颈部右喉返喉返神经旁)淋巴结', '颈段食管', '(颈部食管旁)淋巴结', '宫颈']"
降结肠,"['降结肠末端', '降结肠中段', '降结肠近脾曲', '乙状结肠降结肠交界处']"
基底节区,['左基底节区']
肺,"['右肺下叶尖后段', '右肺门', '右锁骨下区、纵隔、左肺门淋巴结', '肺动脉', '右肺上叶', '右上肺', '肺部', '(上肺韧带旁)淋巴结', '左中肺叶', '右肺上叶内前基底段', '肺内血管支气管束', '左肺上叶后基底段', '右上上肺', '右肺下叶舌段', '双侧肺门', '左肺门', '右肺', '两下肺', '左肺下叶', '右肺下叶、上叶', '左肺上叶肺大泡', '右肺底', '左肺下叶前段', '双肺', '(右上肺门)淋巴结', '左肺上叶外基底段', '左下肺近叶间裂', '两肺上叶', '左肺门淋巴结', '左肺尖', '左上肺', '右肺下叶', '纵隔及左肺门淋巴结', '右下肺前段', '右肺尖', '右肺斜裂', '左肺大泡', '左肺上叶', '左肺下叶尖段', '两肺门', '两肺底', '左下下肺', '两上肺', '左肺上叶背段', '肺动脉瓣', '右肺门淋巴结', '左侧肺门', '左上上肺内基底段', '两肺', '两侧肺', '左下肺后段', '右下肺门', '左肺下叶尖后段', '两侧肺门区', '肺门', '左肺下叶后段', '左肺', '左下肺', '右下肺', '两肺下叶', '两侧肺门', '左肺中叶', '右肺上叶背段', '右下肺尖后段', '左下肺前段', '右下肺舌段', '肺门淋巴结']"
右髂总,"['右髂总及左髂总淋巴结', '右髂总淋巴结', '右髂总静脉', '(右髂总)淋巴结']"
脾动脉,"['脾动脉旁淋巴结', '(脾动脉旁)淋巴结']"
两附件,['两附件区']
腓动脉,['左侧腓动脉']
肝左前叶上段,['肝左前叶上段包膜']
右侧颈部,['右侧颈部vi区及iv区小淋巴结']
纵隔淋巴结,['左前纵隔淋巴结']
下腹,"['下腹正中', '左下腹部', '左侧下腹', '中下腹部', '右下下腹部', '左下腹', '下腹部', '中下腹', '右下腹', '下腹部贲门周围一淋巴结']"
膀胱壁,['右侧膀胱壁']
瓣膜,['右上肢深静脉瓣膜']
横结肠,"['横结肠中段', '横结肠中段偏左', '横结肠近脾区肠壁']"
s2、3,['肝s2、3、5、8']
左肺门,"['右锁骨下区、纵隔、左肺门淋巴结', '左肺门淋巴结', '纵隔及左肺门淋巴结']"
贲门右,"['贲门右小淋巴结', '贲门右淋巴结', '(贲门右)淋巴结']"
胃肠,"['胃肠道', '胃肠吻合口']"
肛,"['两侧提肛肌', '肛门内括约肌', '肛提肌', '肛周', '肛门口', '肛管', '肛门10cm', '肛门内外括约肌', '右侧肛提肌', '肛肠', '肛缘', '肛门']"
左髂血管,['左髂血管淋巴结']
胃角,['胃小弯侧胃角']
腹股沟,"['两侧腹股沟', '右侧腹股沟', '(右侧腹股沟)淋巴结', '腹股沟淋巴结', '左侧腹股沟', '右锁骨下、两侧腹股沟淋巴结', '腹股沟区', '左侧腹股沟区', '右腹股沟', '两侧腹股沟淋巴结', '右腹股沟区', '左侧髂血管旁及左侧腹股沟淋巴结', '左腹股沟', '左腹股沟区', '左腹股沟淋巴结']"
左腹,"['左腹股沟', '左腹腔', '左腹股沟区', '左腹股沟淋巴结']"
肠系膜上动脉根部,"['(肠系膜上动脉根部)淋巴结', '肠系膜上动脉根部淋巴结']"
两肾,"['两肾盂', '两肾下腺', '两肾动脉']"
右侧腹,"['右侧腹股沟', '(右侧腹股沟)淋巴结', '右侧腹腔', '右侧腹直肌']"
身,"['全身肌肉关节', '周身骨骼', '全身浅表淋巴结']"
颜面,['颜面部']
小肠,"['近端小肠', '小肠管壁', '右中上腹小肠', '小肠系膜根肠系膜根部淋巴结', '小肠系膜', '大小肠']"
胸部,"['右侧胸部', '左胸部', '(胸部入口处)淋巴结']"
乳头,"['十二指肠乳头部', '十二指肠大乳头', '十二指肠乳头']"
腹股沟淋巴结,"['右锁骨下、两侧腹股沟淋巴结', '两侧腹股沟淋巴结', '左侧髂血管旁及左侧腹股沟淋巴结', '左腹股沟淋巴结']"
小弯侧淋巴结,['胃小弯侧淋巴结']
右肺,"['右肺下叶尖后段', '右肺门', '右肺上叶', '右肺上叶内前基底段', '右肺下叶舌段', '右肺下叶、上叶', '右肺底', '右肺下叶', '右肺尖', '右肺斜裂', '右肺门淋巴结', '右肺上叶背段']"
肝中叶,"['肝中叶,iv、v、viii段']"
系膜根部淋巴结,"['肠系膜根部淋巴结', '小肠系膜根肠系膜根部淋巴结']"
喉,"['(喉返旁)淋巴结', '(左喉返喉返神经神经旁)淋巴结', '喉头', '(右喉返喉返神经旁)淋巴结', '左喉返神经旁旁淋巴结', '(左喉返旁神经)淋巴结', '喉室', '咽喉', '(颈部右喉返喉返神经旁)淋巴结', '左喉返神经旁淋巴结', '(左喉返喉返神经旁)淋巴结']"
s8,"['肝s2、s8', '肝脏s8', '肝s5、s6、s7、s8', '肝s8', '肝s2,s4,s8']"
小弯侧胃,"['胃小弯侧胃角', '胃小弯侧胃壁']"
幽门管,"['胃窦幽门管', '幽门管大弯']"
右闭孔,['右闭孔淋巴结']
胃底贲门,['胃体下段至胃底贲门部']
子宫颈,"['子宫颈颈管内口', '子宫颈外口']"
闭孔,"['左闭孔淋巴结', '两侧闭孔', '右闭孔', '右侧闭孔', '右侧髂内闭孔区', '右侧髂内闭孔', '左闭孔深淋巴结', '两闭孔', '左侧髂内闭孔', '右侧闭孔淋巴结', '右闭孔淋巴结', '左闭孔', '右左髂总、右左髂外、左闭孔淋巴结']"
s2,"['肝s2、s8', '肝s2.4.6.8', '肝s2、4、8', '肝s2、3、5、8', 's2、3', '肝s2', '肝脏s2、s7/8', '肝s2、6叒段', '肝s2,s4,s8']"
背,"['胸背部', '左腰背部', '左侧背部', '右后背', '后背', '背部', '后背部', '左肺上叶背段', '左肩背部', '腰背', '腰背部', '右肺上叶背段', '肩背部', '肩背', '两上肢足背动脉', '胸背']"
胃体小弯侧,['胃体小弯侧前壁']
右颈部,"['右颈部v区', '右颈部至锁骨下']"
腰部,['右侧腰部']
宫体,"['子宫体', '宫体上段肌层']"
吻合口,['胃肠吻合口']
食管下段,['食管下段周围多发肿大淋巴结']
小弯,"['小弯侧', '小弯侧淋巴结', '小弯侧胃', '胃窦部小弯侧', '胃小弯淋巴结', '胃体小弯侧', '胃小弯、大弯淋巴结', '小弯淋巴结', '贲门小弯侧', '胃体前壁偏小弯侧', '胃体部大弯、小弯壁', '贲门左(3/3)、叒胃小弯(8/9)、幽门上(2/2)淋巴结', '胃窦小弯侧', '小弯侧大弯侧淋巴结', '胃小弯侧胃角', '胃体小弯侧前壁', '胃大、小弯淋巴', '贲门部小弯处', '胃小弯', '贲门胃体下段小弯侧', '胃周小弯侧', '胃大小弯淋巴结', '胃窦小弯', '胃小弯侧', '胃大小弯侧', '胃大、小弯淋巴结', '胃小弯侧淋巴结', '胃小弯侧胃壁']"
胃体大弯,['胃体大弯侧']
腹主动脉旁,"['(腹主动脉旁)淋巴结', '腹主动脉旁淋巴结']"
两脚,['两脚底']
右侧闭孔,['右侧闭孔淋巴结']
水平裂,['左侧水平裂']
左肺下叶,"['左肺下叶前段', '左肺下叶尖段', '左肺下叶尖后段', '左肺下叶后段']"
右肝,"['右肝外叶', '右肝脏', '右肝管']"
左侧腹股沟,"['左侧腹股沟区', '左侧髂血管旁及左侧腹股沟淋巴结']"
骶椎骨,['胸腰骶椎骨']
右锁骨下,"['右锁骨下区、纵隔、左肺门淋巴结', '(右锁骨下)淋巴结', '右锁骨下、两侧腹股沟淋巴结', '右锁骨下窝', '右锁骨下淋巴结', '右锁骨下及左中颈淋巴结', '右锁骨下ln']"
咽部,"['口咽部', '口咽部双侧腺体']"
臀部,['左侧臀部']
颈内动脉,"['左侧颈内动脉', '右侧颈内动脉']"
锁骨下区,['右锁骨下区、纵隔、左肺门淋巴结']
两侧卵巢,"['两侧卵巢白体', '(两侧卵巢)白体']"
左乳,['左乳腺']
胸腹,"['胸腹盆', '胸腹部']"
胃食管,['胃食管结合部']
脑,"['脑室体旁', '大脑前、中、后动脉', '侧脑室体', '脑桥', '左侧大脑半球', '颅脑', '脑部']"
结肠旁沟,['右侧结肠旁沟']
头部,"['十二指肠乳头部', '胰头部', '头部皮上']"
腹膜反折,"['腹膜反折下2cm处直肠', '直肠腹膜反折处']"
肝门区,['腹腔肝门区']
隆突上淋巴结,"['胃右动脉旁、隆突上淋巴结', '右侧气管食管沟及隆突上淋巴结']"
