term,overlap_term
右半结肠切除术,"['腹腔镜辅助上姑息性右半结肠切除术', '腹腔镜上右半结肠切除术', '腹腔镜上根治性右半结肠切除术', '右半结肠切除术术', '根治性右半结肠切除术', '姑息性右半结肠切除术', '腹腔镜右半结肠切除术+dixon术', '右半结肠切除术+横结肠两腔造瘘术', '腹腔镜辅助上根治性右半结肠切除术+小肠肿物切除术']"
胆囊切除术,"['肝癌切除术+胆囊切除术', '左肝肿瘤切除+胆囊切除术', '肝左叶切除术+胆囊切除术', '肝左叶肝癌切除+胆囊切除术', '左肝部分切除、胆囊切除术', '胆道探查+术中胆道镜取石检查+胆囊切除术+t管引流术', '肝动脉结扎插管+肿瘤活捡术+肝肿瘤无水酒精注射术+胆囊切除术', '剖腹探查+胆肠吻合+胃肠吻合+胆囊切除术', '肝癌+胆囊切除术', '肝癌切除(肝中叶)+胆囊切除术', '胰腺肿瘤射频消融、无水酒精注射+胆总管十二指肠吻合,胃空肠吻合+胆囊切除术', '胆囊切除术+胆总管切开取石+t管引流', '肝癌切除+胆囊切除术', '特殊肝段切除术(v、vi、viii段)+胆囊切除术', '腹腔镜上直肠癌根治术+右半肝切除术+胆囊切除术', '特殊肝段切除术(iv、v、viii段)+胆囊切除术+肝十二指肠韧带内肿大淋巴结切除术', '胆囊切除术、胆总管空肠roux-en-y吻合术', '腹腔镜上右肝肿物切除术+胆囊切除术', '左半肝切除术+胆囊切除术', '开腹射频消融术+胆囊切除术+化疗泵置入术', '肝左叶部分切除术+胆囊切除术', '腹腔镜上根治性全胃切除术+胆囊切除术', '肝癌切除术+胆囊切除术+门静脉置泵术', '肝肿瘤切除、胆囊切除术', '腹腔镜胆囊切除术', '肝中叶切除+胆囊切除术', '肝部分切除及胆囊切除术', '解剖性右半肝切除+胆囊切除术', '肝肿瘤切除+胆囊切除术', '肝癌切除术+胆囊切除术+胆总管切开取栓术']"
腹腔镜上根治性远端胃大部切除术,"['腹腔镜上根治性远端胃大部切除术(d2,roux-en-y吻合)', '全腹腔镜上根治性远端胃大部切除术+直肠癌根治术']"
卵巢切除,"['腹腔镜上腹膜活检术+右侧卵巢切除术', '腹腔镜上两卵巢切除术+腹腔热灌注', '左半结肠切除+两卵巢切除', '腹腔镜辅助直肠癌低位前切除,末段回肠预防性造口联合右侧卵巢切除术', '腹腔镜上两侧卵巢切除术', '宫颈癌根治术+两侧卵巢切除术', '广泛性子宫切除、两侧输卵管卵巢切除及盆腔淋巴结清扫术', '左半结肠切除术+左侧卵巢切除术+盆底结节切除术+腹腔热灌注化疗', '腹腔镜上盆腔淋巴结清扫+腹主动脉旁淋巴结取样+广泛子宫+两侧输卵管切除术+左侧卵巢切除+右侧卵巢悬吊术', '两侧卵巢切除去势手术', '两侧卵巢切除术']"
胃癌根治术(远端胃大切),['行胃癌根治术(远端胃大切)']
腹腔镜辅助上根治性远端胃大部切除+残胃空肠roux-y吻合术(d2),['腹腔镜辅助上根治性远端胃大部切除+残胃空肠roux-y吻合术(d2)+阑尾切除术']
直肠息肉切除术,['内镜上直肠息肉切除术']
tem术,['腰硬联合麻醉上行tem术']
腔镜上直肠根治术(dixon手术),"['腹腔镜上直肠根治术(dixon手术)', '腹腔镜上直肠根治术(dixon手术)中转开腹+膀胱病损修补术']"
肝癌切除+胆囊切除术,['肝左叶肝癌切除+胆囊切除术']
腹腔镜辅助上根治性远端胃大部切除术,"['腹腔镜辅助上根治性远端胃大部切除术(毕ii式,d2)', '腹腔镜辅助上根治性远端胃大部切除术(d2)']"
肝癌切除术,"['肝癌切除术+胆囊切除术', '肝癌切除术+胆囊切除术+门静脉置泵术', '原发性肝癌切除术', '肝癌切除术+胆囊切除术+胆总管切开取栓术']"
腹腔镜上根治性全胃切除术,"['腹腔镜上根治性全胃切除术roux-en-yd2r0', '腹腔镜上根治性全胃切除术+胆囊切除术']"
乙状结肠切除术,"['乙状结肠切除术(dixons’术式)', '开腹根治性乙状结肠切除术', '姑息性乙状结肠切除术', '腹腔镜上乙状结肠切除术', '腹腔镜乙状结肠切除术']"
肿瘤细胞减灭术,"['经腹筋膜外子宫+两附件切除+大网膜切除+阑尾切除+盆腔转移病灶清除+肿瘤细胞减灭术', '卵巢癌肿瘤细胞减灭术+腹腔热灌注术', '肿瘤细胞减灭术(全子宫+两附件切除术+大网膜切除术+dixon术+回盲部切除术)', '肿瘤细胞减灭术(i型全子宫切除+两侧附件切除+大网膜切除+盆腔及腹主动脉旁淋巴结清扫+肠修补术)', '卵巢癌肿瘤细胞减灭术(盆腔巨大肿物切除术+子宫两附件切除+盆腔淋巴结清扫+大网膜切除+腹主动脉旁淋巴结活检术)', '全子宫切除术+两侧附件切除术+肿瘤细胞减灭术+骶韧带悬吊术+大网膜肿物切除术']"
清宫,['清宫术']
直肠癌手术,['直肠癌手术(本院)']
胃切除术,"['腹腔镜辅助上根治性全胃切除术', '根治性全胃切除术+食管-空肠吻合术后,吻合口瘘', '远端胃切除术', '腹腔镜上根治性远端胃切除术', '腹腔镜辅助上姑息性全胃切除术(d2)', '根治性全胃切除术', '全胃切除术(空肠j字代胃)', '全胃切除术+淋巴结清扫术', '腔镜上根治性全胃切除术+食管空肠roux-y吻合术(d2)+脾切除术', '腹腔镜上根治性全胃切除术', '腹腔镜上根治性全胃切除术roux-en-yd2r0', '根治术全胃切除术', '剖腹探查、根治性全胃切除术、食管-空肠roux-en-y吻合术', '全胃切除术+空肠j字代胃术', '腹腔镜中转-根治性全胃切除术', '根治性全胃切除术+食管空肠roux-y吻合术(d2)', '腹腔镜辅助上根治性全胃切除术+食管空肠roux-y吻合术(d2)', '腹腔镜上根治性全胃切除术+胆囊切除术', '腹腔镜根治性全胃切除术', '全胃切除术', '胃癌根治术(全胃切除术+间置空肠吻合术)', '根治性全胃切除术(食道空肠roux-y吻合、d2、r0)', '根治性全胃切除术(食管空肠roux-y吻合、d2+、r0)']"
roux-y吻合,"['根治性远端胃切除、胃空肠roux-y吻合术', '腔镜上根治性全胃切除术+食管空肠roux-y吻合术(d2)+脾切除术', '腹腔镜辅助上根治性远端胃大部切除+残胃空肠roux-y吻合术(d2)', '腹腔镜上根治性全胃切除+食管空肠roux-y吻合术(d2)', '腹腔镜辅助上根治性远端胃大部切除+残胃空肠roux-y吻合术(d2)+阑尾切除术', '根治性全胃切除术+食管空肠roux-y吻合术(d2)', '腹腔镜辅助上根治性全胃切除术+食管空肠roux-y吻合术(d2)', '根治性全胃切除术(食道空肠roux-y吻合、d2、r0)', '根治性全胃切除术(食管空肠roux-y吻合、d2+、r0)', 'roux-y吻合术d2']"
肝癌+胆囊切除,['肝癌+胆囊切除术']
根治性右半结肠切除术,"['腹腔镜上根治性右半结肠切除术', '腹腔镜辅助上根治性右半结肠切除术+小肠肿物切除术']"
tace术,"['dsa上选择性肝动脉造影及tace术', '肝动脉tace术', 'dsa上选择性肝动脉造影+tace术']"
胃癌根治术,"['腹腔镜胃癌根治术(毕i)', '(远端)腹腔镜辅助胃癌根治术', '腹腔镜辅助远端胃癌根治术', '腹腔镜辅助,剖腹胃癌根治术', '胃癌根治术\\""(远端胃大部切除)', '胃癌根治术(毕i式)', '胃癌根治术(全胃切除+叒roux-en-y重建)', '胃癌根治术(远端胃大部切除+roux-en-y重建)', '腹腔镜辅助胃癌根治术', '胃癌根治术+肝转移切除', '胃癌根治术(胃全切)', '行胃癌根治术(远端胃大切)', '腹腔镜上胃癌根治术(billroths叒ii式)', '胃癌根治术(远端胃大切)', '腹腔镜探查+(全胃)胃癌根治术', '近端胃癌根治术', '根治性胃癌根治术+毕i式吻合', '胃癌根治术(d2全胃+roux-en-y重建)', '胃癌根治术(毕i)', '胃癌根治术(远端胃大部分切除)', '胃癌根治术+区域淋巴结清扫+横结肠肠段切除+放射性粒子植入术', '腹腔镜上胃癌根治术', '胃癌根治术(全胃)', '残胃癌根治术', '胃癌根治术(全胃切除术+间置空肠吻合术)', '胃癌根治术(毕i式吻合)', '胃癌根治术(近端胃大切,食管胃吻合)', '胃癌根治术(全胃切除+区域淋巴结清扫+roux-en-y消化道重建术)', '腹腔镜胃癌根治术', '胃癌根治术,毕ii式远端胃', '(远端)胃癌根治术', '腹腔镜胃癌根治术中转开腹全胃切除空肠食管roux-eny吻合术+横结肠部分切除术', '远端胃癌根治术']"
盆腔淋巴结清扫术,"['经腹全子宫两两侧附件切除附件切除术+盆腔淋巴结清扫术', '全子宫切除+盆腔淋巴结清扫术', '全子宫+两附件切除+盆腔淋巴结清扫术+肠粘连分解术', '腹腔粘连松解术+部分大网膜切除术+广泛全子宫+两侧卵巢移位术+盆腔淋巴结清扫术', '全子宫+两附件切除术+阑尾+大网膜切除术+盆腔淋巴结清扫术', '经腹广泛性子宫+两附件切除术+盆腔淋巴结清扫术', 'iii型全子宫及及两附件两附件切除及盆腔淋巴结清扫术及腹主动脉旁淋巴结活检术', '腹式广泛全子宫切除术+右输卵管切除术+盆腔淋巴结清扫术+两侧卵巢移位术+肠粘连松解术+阴道顶悬吊术', '宫颈癌根治术+两侧附件切除术+盆腔淋巴结清扫术', '腹腔镜上广泛性子宫切除术+两侧附件切除+盆腔淋巴结清扫术+盆腔粘连松解术', '盆腔粘连松解+筋膜外全子宫+两附件切除+盆腔淋巴结清扫术', '经腹广泛子宫切除+两侧输卵管切除+盆腔淋巴结清扫术', '广泛全子宫两附件切除术+盆腔淋巴结清扫术+阔韧带肌瘤剥除术+阴道顶悬吊术', '广泛全子宫切除+两附件切除术+盆腔淋巴结清扫术', '全宫+两附件+盆腔淋巴结清扫术', '广泛性全子宫+两附件切除术+盆腔淋巴结清扫术', '腹腔镜上宫颈癌根治术(ii型子宫切除+两侧附件切除+盆腔淋巴结清扫术)', '腹腔镜上广泛子宫+两附件切除术+盆腔淋巴结清扫术', '剖腹探查+卵巢癌细胞减灭术(全子宫、两侧附件、大网膜、阑尾、盆腔转移灶、直肠转移灶切除+盆腔淋巴结清扫术)', '广泛全宫切+两侧附件切除术+盆腔淋巴结清扫术', '广泛性子宫切除、两侧输卵管卵巢切除及盆腔淋巴结清扫术', '全子宫两附件切除+盆腔淋巴结清扫术', '宫颈癌根治术(ii型子宫切除+两侧附件切除+盆腔淋巴结清扫术+腹主动脉旁淋巴结活检术)', '全子宫+两侧附件切除术+盆腔淋巴结清扫术', '全麻上宫颈癌根治术(保留神经iii型广泛子宫切除术+两侧附件切除术+盆腔淋巴结清扫术)']"
横结肠造瘘术,['姑息性乙状结肠癌切除+横结肠造瘘术']
胃癌姑息切除术,['胃癌姑息切除术(远端胃大切)']
分段诊刮,['子宫内膜分段诊刮']
胆道探查术,['胆道探查术+t管引流术+胆道镜取石术+腹腔粘连松解术+剖腹探查术']
乙状结肠癌切除术,"['乙状结肠癌切除术、远端闭锁、近端造瘘术', '姑息性乙状结肠癌切除术', '开腹探查乙状结肠癌切除术']"
直肠癌根治术(dixon术),"['经腹直肠癌根治术(dixon术)', '腹腔镜直肠癌根治术(dixon术)']"
腹腔镜上直肠癌根治术,"['腹腔镜上直肠癌根治术dixon', '腹腔镜上直肠癌根治术(dixon)', '腹腔镜上直肠癌根治术(miles)', '腹腔镜上直肠癌根治术+右半肝切除术+胆囊切除术', '腹腔镜上直肠癌根治术miles', '腹腔镜上直肠癌根治术(dixon)+末端回肠造口术', '腹腔镜上直肠癌根治术(miles)+放射粒子植入术', '腹腔镜上直肠癌根治术(miles)+放射性粒子植入术', '腹腔镜上直肠癌根治术+预防性回肠造瘘']"
腹腔镜胆囊切除,"['腹腔镜胆囊切除+胆总管切开取石+t管引流术', '腹腔镜胆囊切除术']"
腹腔镜直肠癌根治术,"['腹腔镜直肠癌根治术(miles术)+肠粘连松解术', '腹腔镜直肠癌根治术(dixon术)']"
姑息性右半结肠切除术,['腹腔镜辅助上姑息性右半结肠切除术']
结肠癌手术,['乙状结肠癌手术']
胃癌根治术(毕i),['腹腔镜胃癌根治术(毕i)']
根治性全胃切除术+食管空肠roux-y吻合术(d2),"['腔镜上根治性全胃切除术+食管空肠roux-y吻合术(d2)+脾切除术', '腹腔镜辅助上根治性全胃切除术+食管空肠roux-y吻合术(d2)']"
根治性远端胃大部切除术,"['腹腔镜辅助上根治性远端胃大部切除术(毕ii式,d2)', '腹腔镜上根治性远端胃大部切除术(d2,roux-en-y吻合)', '根治性远端胃大部切除术(毕ii式,d2)', '腹腔镜上根治性远端胃大部切除术', '腹腔镜辅助上根治性远端胃大部切除术', '腹腔镜辅助上根治性远端胃大部切除术(d2)', '腹腔镜根治性远端胃大部切除术(毕i式d2r0)', '全腹腔镜上根治性远端胃大部切除术+直肠癌根治术']"
肠癌根治术,"['直肠癌根治术(miles术式)', '结肠癌根治术+放射性粒子置入术', '腹腔镜辅助上直肠癌根治术(miles)', '腹腔镜上直肠癌根治术dixon', '直肠癌根治术(dixon)+回肠襻氏造瘘+放射粒子置入术', '腹腔镜辅助上探查+直肠癌根治术', '经腹会阴联合直肠癌根治术', '腹腔镜上直肠癌根治术(dixon)', '左半结肠癌根治术', '经腹会阴直肠癌根治术', '腹会阴直肠癌根治术(miles手术)', '腹会阴联合直肠癌根治术(miles手术)', '降结肠癌根治术', '腹腔镜上直乙交界处结肠癌根治术', '腹腔镜上直肠癌根治术(miles)', '结肠癌根治术', '剖腹探查、结肠癌根治术、肠粘连松解术', '剖腹探查+直肠癌根治术(hartmann术)+肠粘连松解术', '升结肠癌根治术', '腹腔镜上腹腔探查术+中转开腹+术中冰冻活检+乙状结肠癌根治术+小肠部分切除术、肠吻合术', '腹腔镜上直肠癌根治术+右半肝切除术+胆囊切除术', '腹腔镜辅助上直肠癌根治术+放射粒子植入术', '腹腔镜上腹腔探查术、中转开腹,右半结肠癌根治术、小肠系膜结节活检、开腹肿瘤特殊治疗、肠粘连松解术', '小肠癌根治术', '直肠癌根治术(dixon术)', '腹腔镜上直肠癌根治术', '腹腔镜直肠癌根治术', '腹腔镜上直肠癌根治术miles', '全腹腔镜上根治性远端胃大部切除术+直肠癌根治术', '腹腔镜上直肠癌根治术(dixon)+末端回肠造口术', '腹腔镜上直肠癌根治术(miles)+放射粒子植入术', '直肠癌根治术', '直肠癌根治术(dixon)', '腹腔镜辅助上乙状结肠癌根治术', '腹腔辅助上直肠癌根治术(dixon)+放射性粒子植入术', '经腹直肠癌根治术(dixon术)', '腹腔镜上乙状结肠癌根治术', '腹腔镜直肠癌根治术(miles术)+肠粘连松解术', '腹腔镜上直肠癌根治术(miles)+放射性粒子植入术', '腹腔镜上直肠癌根治术+预防性回肠造瘘', '乙状结肠癌根治术', '直肠癌根治术(dixon手术)', '直肠癌根治术(dixon式)', '腹腔镜直肠癌根治术(dixon术)']"
卵巢癌细胞减灭术,['剖腹探查+卵巢癌细胞减灭术(全子宫、两侧附件、大网膜、阑尾、盆腔转移灶、直肠转移灶切除+盆腔淋巴结清扫术)']
结肠造口术,"['空回肠侧侧吻合+横结肠造口术', '横结肠造口术']"
肠息肉切除术,"['直肠息肉切除术', '肠镜上结肠息肉切除术', '内镜上直肠息肉切除术']"
支架置入术,"['右侧髂静脉造影+髂静脉支架置入术+球囊扩张', '上肢动脉内支架置入术', 'ercp术+胆道支架置入术', '经皮经肝胆道支架置入术及外引流术', '内镜上胆管支架置入术', '冠脉支架置入术及起搏器置入术', '两侧上肢动脉支架置入术+术中溶栓术']"
肝活检,['肝活检术']
胰十二指肠切除术,"['胰十二指肠切除术(whipple术)', '姑息性胰十二指肠切除术']"
右半结肠根治性切除术,['腹腔镜辅助右半结肠根治性切除术、胃部分切除术']
腹腔镜上胃癌根治术,['腹腔镜上胃癌根治术(billroths叒ii式)']
dixon手术,"['腹腔镜上直肠根治术(dixon手术)', '腔镜上直肠根治术(dixon手术)', '根治性dixon手术', '腹腔镜上直肠根治术(dixon手术)中转开腹+膀胱病损修补术', '直肠癌dixon手术', '直肠癌根治术(dixon手术)']"
全胃切除术,"['腹腔镜辅助上根治性全胃切除术', '根治性全胃切除术+食管-空肠吻合术后,吻合口瘘', '腹腔镜辅助上姑息性全胃切除术(d2)', '根治性全胃切除术', '全胃切除术(空肠j字代胃)', '全胃切除术+淋巴结清扫术', '腔镜上根治性全胃切除术+食管空肠roux-y吻合术(d2)+脾切除术', '腹腔镜上根治性全胃切除术', '腹腔镜上根治性全胃切除术roux-en-yd2r0', '根治术全胃切除术', '剖腹探查、根治性全胃切除术、食管-空肠roux-en-y吻合术', '全胃切除术+空肠j字代胃术', '腹腔镜中转-根治性全胃切除术', '根治性全胃切除术+食管空肠roux-y吻合术(d2)', '腹腔镜辅助上根治性全胃切除术+食管空肠roux-y吻合术(d2)', '腹腔镜上根治性全胃切除术+胆囊切除术', '腹腔镜根治性全胃切除术', '胃癌根治术(全胃切除术+间置空肠吻合术)', '根治性全胃切除术(食道空肠roux-y吻合、d2、r0)', '根治性全胃切除术(食管空肠roux-y吻合、d2+、r0)']"
直肠癌根治术,"['直肠癌根治术(miles术式)', '腹腔镜辅助上直肠癌根治术(miles)', '腹腔镜上直肠癌根治术dixon', '直肠癌根治术(dixon)+回肠襻氏造瘘+放射粒子置入术', '腹腔镜辅助上探查+直肠癌根治术', '经腹会阴联合直肠癌根治术', '腹腔镜上直肠癌根治术(dixon)', '经腹会阴直肠癌根治术', '腹会阴直肠癌根治术(miles手术)', '腹会阴联合直肠癌根治术(miles手术)', '腹腔镜上直肠癌根治术(miles)', '剖腹探查+直肠癌根治术(hartmann术)+肠粘连松解术', '腹腔镜上直肠癌根治术+右半肝切除术+胆囊切除术', '腹腔镜辅助上直肠癌根治术+放射粒子植入术', '直肠癌根治术(dixon术)', '腹腔镜上直肠癌根治术', '腹腔镜直肠癌根治术', '腹腔镜上直肠癌根治术miles', '全腹腔镜上根治性远端胃大部切除术+直肠癌根治术', '腹腔镜上直肠癌根治术(dixon)+末端回肠造口术', '腹腔镜上直肠癌根治术(miles)+放射粒子植入术', '直肠癌根治术(dixon)', '腹腔辅助上直肠癌根治术(dixon)+放射性粒子植入术', '经腹直肠癌根治术(dixon术)', '腹腔镜直肠癌根治术(miles术)+肠粘连松解术', '腹腔镜上直肠癌根治术(miles)+放射性粒子植入术', '腹腔镜上直肠癌根治术+预防性回肠造瘘', '直肠癌根治术(dixon手术)', '直肠癌根治术(dixon式)', '腹腔镜直肠癌根治术(dixon术)']"
支架植入术,"['ercp胆道支架植入术', 'ercp+胆管支架植入术', '行ercp+胆管支架植入术']"
直肠癌根治术(dixon),"['直肠癌根治术(dixon)+回肠襻氏造瘘+放射粒子置入术', '腹腔镜上直肠癌根治术(dixon)', '腹腔镜上直肠癌根治术(dixon)+末端回肠造口术', '腹腔辅助上直肠癌根治术(dixon)+放射性粒子植入术']"
rfa术,['肝转移瘤rfa术']
