term,frequency
回肠造口还纳术,2
气管切开术,2
内镜上直肠息肉切除术,2
肝癌介入治疗(tace),2
肝肿瘤射频消融,2
肝动脉栓塞化疗(tace)术,2
横结肠两腔造瘘术+阴道修补术,2
空肠切除术,2
结肠镜电切手术,2
肠息肉切除术,2
胆囊摘除术,2
宫颈活检术,2
子宫全切术,2
结肠癌手术,2
两侧卵巢切除术,2
dsa上选择性肝动脉造影及tace术,2
经左胸下腹颈部食管部分切除+胃食管颈部吻合+二野清扫术,2
腹腔镜上直肠癌根治术miles,2
直肠癌手术,2
肝转移瘤切除术,2
胰十二指肠切除术(whipple术),2
腹腔镜胆囊切除+胆总管切开取石+t管引流术,2
胃大部切除术,2
根治术全胃切除术,2
腹腔镜辅助上根治性远端胃大部切除术,2
根治性远端胃大部切除术,2
腹腔镜直肠癌根治术,2
胃癌姑息切除术,2
腹腔镜dixon+回肠造瘘术,2
腹腔镜上右半结肠切除术,2
胃癌切除术,2
iii型全子宫及及两附件两附件切除及盆腔淋巴结清扫术及腹主动脉旁淋巴结活检术,1
ercp+胆管支架植入术,1
经腹行全子宫切除术+两侧附件切除术+大网膜部分切除术+阑尾切除术,1
腹腔镜检查+卵巢肿瘤活检术,1
"腹腔镜辅助,剖腹胃癌根治术",1
根治性胃癌根治术+毕i式吻合,1
腹腔镜右半结肠切除术+dixon术,1
右大腿截肢右膝肿物切除及右腹股沟淋巴结清扫术,1
扩大右半肝切除术,1
腹腔镜上根治性远端胃切除术,1
全胃+d2,1
吻合口扩张,1
内镜上切除肛管病变,1
胃癌根治手术,1
解剖性右半肝切除+胆囊切除术,1
剖腹探查+术中灌肠+dixon+阑尾切除术,1
"胃癌根治术,毕ii式远端胃",1
胃空肠吻合术,1
肝癌切除术,1
直肠癌低位前切除术+预防性回肠造瘘术,1
左肝肿瘤切除+胆囊切除术,1
肝介入治疗(tai),1
全子宫及两侧附件切除术,1
左上肢截肢手术,1
宫腔镜上子宫内膜息肉切除术,1
胆囊切除+胆肠吻合+胃肠吻合术,1
右侧髂静脉造影+髂静脉支架置入术+球囊扩张,1
肝癌切除+胆囊切除+胆管旁淋巴结切除术,1
腹腔镜上直肠癌根治术+右半肝切除术+胆囊切除术,1
远端胃切除术,1
经腹广泛子宫切除+两侧输卵管切除+盆腔淋巴结清扫术,1
右肺转移灶手术,1
miles术+肝转移灶切除,1
直肠腹会阴联合切除,1
左侧乳腺癌改良根治术,1
区域淋巴结切除术,1
肝脏肿瘤微波固化术,1
直肠癌根治+肝转移瘤切除术,1
直肠肿物切除术,1
肝中叶切除+胆囊切除术,1
两侧睾丸切除术,1
全子宫切除术+两侧输卵管切除术+盆腔粘连松解术,1
"开腹探查,直肠癌切除,结肠造瘘术",1
肝转移灶射频消融术,1
lar手术,1
右半肝巨大肝癌切除+逆行性胆囊切除+肝门淋巴结清扫术+胃壁修补术,1
ct引导上淋巴结射频消融术,1
腹腔镜上直肠根治术(dixon手术),1
"腹腔镜转开腹,姑息性腹膜后肿瘤切除+胆囊切除",1
直肠病损切除术,1
广泛子宫全切+腹主动脉旁淋巴结取样+盆腔淋巴结切除+两侧卵巢悬吊,1
肝活检,1
肝活检术,1
"左侧卵巢癌手术,两侧附件及子宫切除",1
空肠回肠侧侧吻合术,1
b超引导上左颈部肿物粗针活检术,1
锁穿置管,1
胃癌术,1
全子宫+两附件切除+盆腔淋巴结清扫术+肠粘连分解术,1
直肠癌lar术,1
宫颈癌根治术+两侧输卵管切除术+两侧卵巢悬吊术,1
直肠癌前切除术,1
结肠还瘘术及肝部分切除术,1
肝转移瘤rfa术,1
行胃癌根治术(远端胃大切),1
乙状结肠癌根治、子宫两附件切除术,1
腹腔粘连松解术+部分大网膜切除术+广泛全子宫+两侧卵巢移位术+盆腔淋巴结清扫术,1
肝动脉泵植入术,1
宫颈冷刀锥切术,1
肠镜上腺瘤电切术,1
直肠癌手术(本院),1
卵巢癌分期术,1
roux-y吻合,1
胰十二指肠联合切除术,1
改良根治术,1
卵巢切除,1
全子宫+右附件手术切除,1
宫颈冷刀锥切,1
腹腔镜上探查+开腹全子宫两附件切除+大网膜切除术,1
剖腹探查、左肝肿瘤切除、胆囊切除、左肝结节射频消融术,1
袖状胃手术,1
结肠造口术,1
剖腹探查+直肠癌根治术(hartmann术)+肠粘连松解术,1
肠息肉内镜上切除术,1
剖腹探查术+姑息性降结肠肿瘤切除术+降结远端封闭、近端造口术,1
腹腔镜上盆腔粘连分离术、右侧输卵管切除术、左侧卵巢囊肿剥除术、腹膜病灶活检术,1
腹腔镜直肠癌根治术(miles术)+肠粘连松解术,1
经胃镜上营养管置入术,1
内镜上胃造瘘术,1
内镜上息肉切除,1
肠息肉叒内镜上切除术,1
子宫切除术及右侧附件切除术,1
“leep”术,1
残余子宫切除术,1
肝癌切除(肝中叶)+胆囊切除术,1
胃镜上氩气刀胃体息肉切除术,1
经腹次广泛子宫切除术+两侧附件切除,1
全子宫两附件切除+盆腔淋巴结清扫术,1
残胃癌根治术,1
胆囊切除、左半肝切除术,1
腹腔置管引流术,1
剖腹探查术+胃空肠吻合术,1
根治性膀胱切除+回肠导管术,1
大网膜穿刺病理检查术,1
胃镜上息肉切除,1
姑息性近端胃大部切除、幽门成形术,1
上肢动脉内支架置入术,1
上肢动脉置管溶栓术,1
胆道探查术+t管引流术+胆道镜取石术+腹腔粘连松解术+剖腹探查术,1
胆道探查术,1
剖腹探查+乙状结肠肿瘤根治术+放射性粒子置入,1
肝脏选择性肝动脉造影术、肝癌肿瘤滋养动脉超选择性插管化疗栓塞术,1
根治性远端胃大部切除、毕ii式吻合术,1
左胸三切口部分食管切除+胃食管右颈吻合术,1
腹腔镜镜上卵巢囊肿剥除术,1
根治性左半结肠切除+区域淋巴结清扫术,1
肠镜上结肠息肉切除术,1
特殊肝段切除术(iv、v、viii段)+胆囊切除术+肝十二指肠韧带内肿大淋巴结切除术,1
"远端闭锁,近端造瘘术",1
姑息性乙状结肠癌切除术,1
姑息性乙状结肠切除术,1
胆囊切除+胆总管切开取石+t管引流术,1
冷刀宫颈锥切术,1
“左半结肠切除术+回肠减压”术,1
腹腔镜乙状结肠切除术,1
根治性远端胃大部切除+毕i式吻合术,1
腹腔镜胆囊切除,1
dixons’术式+回肠两腔造瘘术,1
经左胸下腹部分食管切除术+胃食管吻合术,1
行腹腔镜上远端胃大部切除术+放射性粒子植入,1
结肠息肉电切术,1
腹腔镜辅助上直肠癌根治术+放射粒子植入术,1
右上肢、上腔静脉造影+上腔静脉滤器取出术,1
结肠肿块切除术,1
胃癌姑息切除术(远端胃大切),1
hartmann+乙状结肠造瘘术,1
乙状结肠造口回纳术,1
剖腹探查+腹腔粘连松解+肠间脓肿引流+升结肠肿瘤切除+末段小肠造口术,1
肝癌切除术+胆囊切除术+胆总管切开取栓术,1
剖腹探查+胃空肠吻合+升结肠-横结肠侧侧吻合术,1
抽脂手术,1
腹腔镜dixon+开腹肝转移瘤切除术,1
超声引导上右肝肿块射频消融术,1
肝癌+胆囊切除术,1
胆囊造瘘术,1
降结肠癌根治术,1
息肉切除,1
“dixon”术,1
剖腹探查术+回肠造瘘术,1
剖腹探查+肠粘连松解+扩大左半结肠切除+肠外置术,1
造口回纳术,1
肝肿物微波固化术,1
肝肿瘤微波消融,1
喉部恶性肿瘤切除术,1
腹腔镜胆囊切除术,1
全子宫两附件切除+盆腔粘连松解术,1
结肠息肉apc术,1
剖腹探查+左半结肠切除+肠粘连松解术,1
远端胃癌d2根治术(毕i式),1
胆囊切除+胆总管探查+t管引流术,1
右半结肠切除术术,1
根治性全胃大部切除术,1
肝囊肿开窗引流,1
食管胃结合部癌根治术,1
介入消融,1
结肠镜上结肠息肉钳切,1
电视喉镜喉咽新生物活检术,1
全喉切除+左颈淋巴结清扫术,1
剖宫产术,1
赘生物+囊肿切除,1
保留生育功能分期手术(患者附件切除+患侧盆腔淋巴结清扫+腹主动脉旁淋巴结清扫或活检+大网膜切除+阑尾切除),1
右肺上叶背段病变穿刺活检+微波消融术,1
肝左叶肝癌切除+胆囊切除术,1
原发性肝癌切除术,1
经皮经肝胆道支架置入术及外引流术,1
esd,1
肿瘤减灭术(全子宫+两附件+阑尾+大网膜+盆腔病灶),1
胆囊切除+右半肝切除+门静脉切开取栓术,1
直肠癌根治切除术,1
"乙状结肠单腔造口,远端封闭",1
开腹探查、直肠癌hartmann切除术,1
肝动脉结扎插管+肿瘤活捡术+肝肿瘤无水酒精注射术+胆囊切除术,1
b超引导上肝肿瘤射频消融毁损术,1
乙状结肠癌切除、肝部分切除,1
腹腔镜上根治性全胃切除术roux-en-yd2r0,1
乙状结肠mt切除术,1
ercp术+胆道支架置入术,1
胆道探查+术中胆道镜取石检查+胆囊切除术+t管引流术,1
肝癌射频消融术,1
开腹射频消融术+胆囊切除术+化疗泵置入术,1
roux-y吻合术d2,1
卵巢癌减灭术,1
空气灌肠整复术,1
降结肠根治术,1
大网膜切除+胃空肠吻合术+回肠-横结肠吻合术,1
胃癌d2根治术,1
乙状结肠癌切除+两侧附件占位切除,1
肝rfa,1
胰十二指肠切除+左肝部分切除,1
两侧卵巢+两侧附件+大网膜切除术,1
卵巢癌细胞减灭术,1
左半结肠切除术+左侧卵巢切除术+盆底结节切除术+腹腔热灌注化疗,1
腹腔热灌注化疗术,1
左半结肠切除术、胃肠吻合术,1
rfa,1
两侧睾丸切除手术,1
行ercp+胆管支架植入术,1
经腹全子宫两两侧附件切除附件切除术+盆腔淋巴结清扫术,1
全喉切除术+左颈根治性颈清扫术,1
胸腔镜辅助上右下肺叶切除及纵隔淋巴结清扫术,1
宫颈癌根治术+两侧卵巢切除术,1
宫腔镜上子宫粘膜上肿物切除术,1
经腹会阴联合直肠癌根治术,1
胃癌姑息性切除术,1
胃大部切除后行毕ii式吻合,1
伽玛刀治疗,1
经肛直肠肿物切除术,1
dixon+结肠灌洗术,1
左肝部分切除、胆囊切除术,1
"胰腺肿瘤射频消融、无水酒精注射+胆总管十二指肠吻合,胃空肠吻合+胆囊切除术",1
腹腔穿刺术+闭式引流,1
ercp胆道支架植入术,1
"全胃切除,空肠j字代胃术",1
肠镜上结肠直肠多发性息肉氩气刀治疗术,1
右肾切除术,1
腹腔镜左半结肠切除术+tem,1
诊断性刮宫,1
全子宫切除、两侧骨盆漏斗韧带高位结扎、大网膜、阑尾切除术,1
"腹腔镜辅助直肠癌低位前切除,末段回肠预防性造口联合右侧卵巢切除术",1
右半结肠切15除术,1
宫颈leep,1
ii型改良根治性子宫切除+两附件切除,1
全子宫+两侧附件切除+大网膜切除+盆腔淋巴结清扫+腹主动脉旁淋巴结切除术,1
子宫切除+两附件切除+dixon术+大网膜切除术开腹恶性肿瘤特殊治疗术,1
剖腹探查+胆肠吻合+胃肠吻合+胆囊切除术,1
宫颈锥切术,1
全子宫+两侧附件切除术+盆腔淋巴结清扫术,1
肝动脉灌注化疗术,1
胆管癌切除术,1
ptcd术,1
肝肿瘤微波消融术,1
左半结肠癌根治术,1
经腹iii型全子宫切除+两侧附件切除+两侧盆腔淋巴结清扫+腹主动脉旁淋巴结切除术,1
miles术,1
腹腔镜上两卵巢切除术+腹腔热灌注,1
腹腔镜dixon,1
胃癌根治术(毕i式),1
乙状结肠癌+部分膀胱切除手术,1
b超引导上经直肠前列腺穿刺活检,1
复杂肝癌切除(肝中叶切除)+胆总管探查+t管引流术,1
胰十二指肠切除、门静脉节段切除、人工血管原位移植术、上腔静脉部分切除、修补术,1
全麻上宫颈癌根治术(保留神经iii型广泛子宫切除术+两侧附件切除术+盆腔淋巴结清扫术),1
胃全切术,1
胸腔镜上左肺转移切除术,1
腹腔镜上结肠癌切除,1
tace+肝动脉留管,1
胸腔穿刺,1
心包穿刺,1
右侧腋窝肿块切除术,1
左半结肠癌切除术,1
左卵巢+全子宫切除术,1
腹腔动脉造影+栓塞术,1
清宫,1
胸腔镜上切除右下肺m切除,1
伽马刀,1
回纳术,1
腹腔镜胃癌根治术(毕i),1
胃癌根治术+肝转移切除,1
"根治性全胃切除术+食管-空肠吻合术后,吻合口瘘",1
开腹子宫内膜癌分期手术+大网膜切除术,1
根治性全胃切除+食管-空肠roux-en-y吻合术,1
胃癌根治术(胃全切),1
结肠肝区癌切除术,1
经腹子宫+两附件+盆腔淋巴结清扫+大网膜部分切除术,1
腹腔镜上横结肠切除手术,1
宫腔镜子宫纵隔电切术,1
左半结肠切除+两卵巢切除,1
"腹腔镜dixon术,左侧附件切除术",1
胆囊穿刺置管引流术,1
腹腔镜探查+横结肠两腔造口术+经阴直肠阴道瘘修补术,1
甲状腺右叶+峡部切除+右vi区淋巴结清扫术+右侧喉返神经探查术+全子宫两附件切除术,1
腹腔镜上宫颈癌根治术(ii型子宫切除+两侧附件切除+盆腔淋巴结清扫术),1
全麻上剖腹探查、左半结肠切除术,1
右乳癌改良根治术+右锁骨下淋巴结活检术,1
两侧卵巢切除去势手术,1
腹腔镜上两侧卵巢切除术,1
全子宫切除+盆腔淋巴结清扫术,1
横结肠腺瘤切除术,1
"胃大部切除\\胃空肠吻合,空肠空肠吻合术",1
乙状结肠癌切除术、远端闭锁、近端造瘘术,1
肝动脉tace术,1
左半结肠切除+乙状结肠部分切除+盆腔结节切除+腹腔热灌注化疗术,1
左卵巢囊肿切除术,1
卵巢癌减瘤术,1
右侧输尿管支架置入,1
膀胱镜检查+右输尿管支架调整+左输尿管支架置入,1
肝左叶部分切除术+胆囊切除术,1
ptcd引流,1
右左肝管内留置金属支架,1
更换ptcd引流管,1
原位肝移植术,1
卵巢癌肿瘤细胞减灭术(盆腔巨大肿物切除术+子宫两附件切除+盆腔淋巴结清扫+大网膜切除+腹主动脉旁淋巴结活检术),1
腹腔镜上胃体间质瘤切除术,1
腹腔镜上直肠癌根治术(miles)+放射粒子植入术,1
经右胸上段食管癌切除、食管胃主动脉弓上吻合、淋巴结廓清术,1
远端胃癌根治+b-i式吻合术,1
广泛全宫切+两侧附件切除术+盆腔淋巴结清扫术,1
直肠癌前切术,1
tae,1
右半结肠切除+恶性肿瘤腔内灌注治疗,1
ii型全子宫切除+两侧附件切除+盆腔淋巴结清扫+腹主动脉旁淋巴结活检术,1
左肾根治性切除+肾周粘连松解+肠粘连松解+阑尾切除术+腹膜后淋巴结活检术,1
胃癌根治术(远端胃大部分切除),1
升结肠肿物切除术,1
经右胸食管癌切除术+食管胃弓下吻合术,1
宫腔诊刮术,1
全宫+两附件+盆腔淋巴结清扫术,1
宫颈癌根治术+两附件切除术(ii型全子宫切除术),1
直肠活检,1
"腹腔镜探查,经腹会阴直肠癌联合根治术",1
左侧附件切除术,1
左半结肠切除术+有附件切除术,1
左半结肠切除、直肠癌切除(harttmann)术,1
腹盆腔冲洗引流术,1
m-r刀,1
肠癌根治术,1
经腹直肠癌根治术(dixon术),1
肠息肉电切术,1
乳腺根治性切除术,1
卵巢去势术,1
卵巢癌肿瘤细胞减灭术+腹腔热灌注术,1
胃癌近端胃切除+食管残胃吻合+放射性粒子植入术,1
肝左叶切除术+胆囊切除术,1
姑息性胃大部切除术+毕ii式吻合,1
姑息性乙状结肠癌切除+横结肠造瘘术,1
全结肠切除术+远端直肠息肉电切术,1
直肠息肉电切,1
经腹子宫切除+两附件切除+大网膜切除+肠壁转移瘤切除术,1
腹腔镜上根治性直肠癌切除术+回肠造瘘术,1
胃癌根治术(毕i式吻合),1
广泛全子宫两附件切除术+盆腔淋巴结清扫术+阔韧带肌瘤剥除术+阴道顶悬吊术,1
直肠癌根治术(miles术式),1
全子宫+两附件切除+腹盆腔粘连松解术,1
腹腔镜辅助右半结肠根治性切除术、胃部分切除术,1
胃癌根治术(全胃切除+叒roux-en-y重建),1
广泛全子宫切除+两附件切除术+盆腔淋巴结清扫术,1
剖腹探查术、腹盆腔冲洗、回肠造瘘术、腹盆腔置管引流术,1
腹腔镜辅助上胃体间质瘤楔形切除术,1
右乳癌根治术,1
直肠癌根治术(dixon手术),1
腹左胸食管癌切除术,1
全麻上行盆腔粘连松解+阔韧带肿物切除术+全子宫切除术,1
两侧输卵管结扎术,1
贲门癌根治性近端胃切除+胃食管膈上吻合术,1
远端胃癌姑息切除癌姑息切除术,1
直肠肿瘤dixon切除术,1
腔镜上直肠根治术(dixon手术),1
直肠前切除术,1
小肠癌根治术,1
腹腔镜探查、左半结肠切除术,1
经腹子宫+两侧附件切除+大网膜切除+部分肠壁转移病灶切除术,1
"根治性远端胃大部切除术(毕ii式,d2)",1
胰头肿物切除、肝肿物切除、小肠憩室切除、胰肠吻合、空肠造瘘术,1
经腹腹膜外子宫切除+两附件切除+全盆腹膜切除+盆腔淋巴结清扫+腹主动脉旁淋巴结清扫+阑尾切除术,1
左半结肠切除+开腹恶性肿瘤特殊治疗,1
残胃癌切除术+复杂肠粘连松解术+roux-en-y吻合术,1
根治性全胃及食管上段切除+食管-空肠roux-en-y吻合术,1
经左胸三切口食管下段癌切除+食管胃底左颈部吻合+左侧第5肋骨固定术,1
食管-胃底手工吻合,1
胸腹腔镜联合翻身三切口全胸段食管切除+食管-胃底右颈吻合+空肠造瘘术,1
腹腔镜上腹腔探查术+中转开腹+术中冰冻活检+乙状结肠癌根治术+小肠部分切除术、肠吻合术,1
胃癌根治术(d2全胃+roux-en-y重建),1
胸腔引流、胸腔冲洗,1
腹腔镜中转-根治性全胃切除术,1
腔镜上根治性全胃切除术+食管空肠roux-y吻合术(d2)+脾切除术,1
剖腹探查+胃窦肿物活检术+胃空肠吻合术,1
腹腔镜上左半结肠姑息性切除术,1
ii广泛性全子宫两附件切除术,1
根治性远端胃切除、胃空肠roux-y吻合术,1
腹主动脉旁淋巴结取样术,1
腹腔镜辅助上姑息性全胃切除术(d2),1
右半肝联合尾状叶切除+胆总管切除+左前、左后胆肠吻合+腹腔淋巴结清扫+腹腔粘连松解+腹壁肿物切除术,1
tem术,1
开腹探查乙状结肠癌切除术,1
乙状结肠息肉电切术,1
腹腔镜上探查+中转开腹姑息性直肠癌切除+乙状结肠造瘘术,1
右半结肠切除术+横结肠两腔造瘘术,1
腹腔镜上直肠根治性切除术+预防性回肠造瘘术,1
直肠癌切除术,1
脓肿切开引流术,1
回肠末端(穿孔部分)切除端侧吻合术,1
腹腔镜辅助上根治性全胃切除术+食管空肠roux-y吻合术(d2),1
直肠癌dixon手术,1
腹腔镜辅助上根治性远端胃大部切除术(d2),1
贲门癌根治(全胃切除)+胰腺体尾部切除+脾切除术,1
右进胸食管腹段癌切除+食管-胃底弓上吻合术,1
腹腔镜辅助上直肠癌根治术(miles),1
胃镜上吻合口狭窄扩张术,1
翻身三切口食管下段癌切除+食管-胃底右颈部吻合+第6后肋内固定+空肠造瘘术,1
乙状结肠切除术(dixons’术式),1
腹腔镜辅助远端胃癌根治术,1
腹腔镜上直乙交界处结肠癌根治术,1
胰体尾切除+空肠近端切除+脾切除+结肠脾区切除+roux-en-y吻合术,1
乙状结肠癌姑息切除+近端乙状结肠造瘘+小肠部分切除吻合术,1
腹腔镜上横结肠癌根治性切除术,1
剖腹探查+肠粘连松解术+回肠单腔造瘘术,1
小肠造口还纳术,1
经腹食管胃交界腺癌根治术,1
开腹根治性乙状结肠切除术,1
腹腔镜上结肠肿瘤切除术,1
右乳癌改良根治术,1
卵巢去势手术,1
盆腔粘连松解+筋膜外全子宫+两附件切除+盆腔淋巴结清扫术,1
全麻上直肠肿瘤切除术,1
腹腔镜上直肠部分切除术,1
剖腹探查+肠减压+根治性左半结肠切除术,1
腹腔镜辅助上根治性远端胃大部切除+残胃空肠roux-y吻合术(d2)+阑尾切除术,1
直肠高位前切除术,1
全胃切除术(空肠j字代胃),1
胃癌根治术(全胃),1
腹腔镜辅助上根治性远端胃大部切除+残胃空肠roux-y吻合术(d2),1
腹腔镜直肠癌根治切除术,1
姑息性乙状结肠部分切除术,1
腹腔镜上根治性全胃切除术+胆囊切除术,1
"乙状结肠部分切除、乙状结肠单腔造瘘,阑尾切除术",1
根治性胃大部切除+毕i式吻合术,1
行姑息性“乙状结肠切除,1
dixon's+肠粘连松解术,1
肝转移瘤射频消融术,1
胸腔镜上全胸段食管切除+食管-胃底右颈部吻合术,1
腹腔镜胃癌根治术中转开腹全胃切除空肠食管roux-eny吻合术+横结肠部分切除术,1
腹腔镜辅助上姑息性右半结肠切除术,1
剖腹探查+乙状结肠肿瘤切除+近端造口、远端封闭+结肠减压,1
乙状结肠造口还纳术,1
经腹全子宫+两附件切除术+阑尾切除术+大网膜切除+左侧淋巴结清扫术+盆腔粘连松解,1
直肠miles术,1
腹腔镜上姑息性直肠癌切除术(hartmann)+乙状结肠造瘘术,1
"腹腔镜上根治性远端胃大部切除术(d2,roux-en-y吻合)",1
腹腔镜上直肠部分切除术(姑息性)+乙状结肠造瘘术,1
"剖腹探查+胃癌根治(d2,r1)+放射性粒子植入术",1
左半结肠切除术+淋巴结清扫术,1
腹腔镜上直肠癌姑息性切除术dixon,1
全腹腔镜上根治性远端胃大部切除术+直肠癌根治术,1
iii型子宫切除、两附件切除、盆腔淋巴结清扫,1
根治性全胃切除术(食道空肠roux-y吻合、d2、r0),1
根治性左半结肠切除术+胆总管探查术,1
宫颈癌根治术(ii型子宫切除+两侧附件切除+盆腔淋巴结清扫术+腹主动脉旁淋巴结活检术),1
腹腔镜上直肠癌根治术+预防性回肠造瘘,1
腹腔镜上直肠癌根治术(miles)+放射性粒子植入术,1
剖腹探查+全子宫两附件切除+大网膜切除+阑尾切除+放射性粒子置入术,1
(宫颈肿物)活检术,1
乙状结肠部分切除+乙状结肠单腔造瘘术,1
乙状结肠切除+右肾下腺切除术,1
根治性残胃癌切除术,1
剖腹探查+小肠粘连松解术,1
"腹腔镜辅助上根治性远端胃大部切除术(毕ii式,d2)",1
剖腹探查+肠粘连松解+左半结肠切除术,1
胃癌癌根治术(远端胃大部切除+毕i式吻合术),1
腹腔镜上右肝肿物切除术+胆囊切除术,1
腹腔镜上扩大根治性左半结肠切除术,1
腹腔镜上盆腔淋巴结清扫+腹主动脉旁淋巴结取样+广泛子宫+两侧输卵管切除术+左侧卵巢切除+右侧卵巢悬吊术,1
腹腔镜上广泛子宫+两附件切除术+盆腔淋巴结清扫术,1
腹会阴直肠癌根治术(miles手术),1
剖腹探查、根治性全胃切除术、食管-空肠roux-en-y吻合术,1
肿瘤细胞减灭术(i型全子宫切除+两侧附件切除+大网膜切除+盆腔及腹主动脉旁淋巴结清扫+肠修补术),1
腹腔镜上扩大根治性左半结肠癌切除,1
左半肝切除术+胆囊切除术,1
直肠hartmann手术,1
腹会阴联合直肠癌根治术(miles手术),1
腹腔镜扩大根治性左半结肠切除术,1
特殊肝段切除术(v、vi、viii段)+胆囊切除术,1
左半结肠切除+淋巴结清扫术,1
腹腔镜辅助上根治性全胃切除(d2)+食管空肠roux-en-y吻合术,1
腹腔镜根治性全胃切除术,1
胃癌姑息性切除术(远端胃大部切除+毕i式吻合),1
胸腹腔镜联合全胸段食管切除+食管-胃底右颈部吻合+右甲状腺结节切除术,1
腹腔镜上广泛切除术+两附件切除术+盆腔ln及腹主动脉旁淋巴结清扫术,1
全子宫+两附件切除术+阑尾+大网膜切除术+盆腔淋巴结清扫术,1
胸段段食管食管切除+食管-胃左胸顶吻合术+左侧第5肋骨固定术,1
腹腔镜胃癌根治术,1
腹腔镜上直肠根治术(dixon手术)中转开腹+膀胱病损修补术,1
腹腔镜上根治性右半结肠切除术,1
经腹广泛性子宫+两附件切除术+盆腔淋巴结清扫术,1
根治性全胃切除术(食管空肠roux-y吻合、d2+、r0),1
根治性远端胃大部切除,1
全子宫切除+两附件切除+盆腔淋巴结切除+腹主动脉淋巴结切除+大网膜切除+肠粘连松解术,1
胰十二指肠切除、联合胰腺体颈部切除、胃造瘘、空肠造瘘术,1
b超引导上腹腔穿刺置管引流,1
全子宫切除术+两侧附件切除术+肿瘤细胞减灭术+骶韧带悬吊术+大网膜肿物切除术,1
全子宫切除术+右侧附件切除术,1
剖腹探查+卵巢癌细胞减灭术(全子宫、两侧附件、大网膜、阑尾、盆腔转移灶、直肠转移灶切除+盆腔淋巴结清扫术),1
全胃切除术+空肠j字代胃术,1
胃癌根治术(毕i),1
肠粘连松解术+空肠造瘘术,1
根治性dixon手术,1
内镜上结肠息肉电切术,1
腹腔镜辅助上根治性右半结肠切除术+小肠肿物切除术,1
腹腔镜上乙状结肠根治性切除术,1
根治性全胃切除术+食管空肠roux-y吻合术(d2),1
腹腔镜直肠癌根治术(dixon术),1
右肺下叶切除术,1
右股腘动脉旁路术,1
右侧股股浅动脉闭塞旁路术,1
左侧股动脉穿刺,1
上肢动脉pta,1
stent术,1
全子宫、两附件、大网膜及阑尾切除术,1
经皮肝穿胆道引流术,1
肝门部胆管癌根治术,1
肝门部胆管癌手术,1
腹腔清创引流+回肠造瘘术,1
输尿管d-j管置入+剖腹探查+肠粘连分解+盆腔包块切除+放射性粒子置入术,1
肿瘤细胞减灭术(全子宫+两附件切除术+大网膜切除术+dixon术+回盲部切除术),1
直肠癌根治术(dixon式),1
胆囊切除术+胆总管切开取石+t管引流,1
经腹筋膜外子宫+两附件切除+大网膜切除+阑尾切除+盆腔转移病灶清除+肿瘤细胞减灭术,1
根治性右半结肠切除术,1
空肠部分切除术,1
右半结肠根治性切除术,1
右第i、ii趾截趾术,1
左髂动脉支架术,1
肝叶切除术,1
腹腔镜辅助上探查+直肠癌根治术,1
正中开腹根治性全胃切除+食管-空肠roux-en-y吻合+空肠造瘘+脾切除术,1
经典原位非转流式肝移植术,1
