term,frequency
vp-16,1
硝酸异山梨酯,1
mtx,1
红豆杉,1
dxm,1
氨磷汀,1
ndp,1
芙瑞,1
白蛋白紫杉醇,1
sorafinib,1
nvb,1
羟基尿,1
倍他乐克,1
act-d,1
丙球,1
沙丁胺醇,1
万古霉素,1
替普瑞酮,1
雷诺得,1
替莫唑胺,1
耐信,1
卡陪他滨片,1
xel,1
易蒙停,1
替硝唑,1
核黄素,1
tspa,1
君瑞清,1
巨和粒,1
帕妥珠单抗,1
藿安正气丸,1
冸托拉唑,1
吡柔比星,1
蒲元和胃胶囊,1
赫赛汀,1
吡咯替尼,1
盐酸坦洛新缓释胶囊,1
乳酸右氧氟沙星,1
头孢克肟胶囊,1
肾下腺色腙片,1
比卡鲁胺片,1
aflibercept,1
惠尔血,1
脂质体紫杉醇,1
tamoxifen,1
长春地辛,1
伊立体\u0004\u0004替康,1
孕激素,1
氟他安,1
消渴丸降糖,1
阴阳五行散,1
lv,1
华蟾素片,1
卡络黄钠,1
眩晕片,1
罗布麻,1
厄贝沙坦氢氯噻嗪片,1
右旋氨氯地平片(施慧达),1
亚叶酸,1
门冬胰岛素,1
重组甘精胰岛素注射液(长秀霖笔芯),1
脑络通胶囊,1
沙利铂,1
卡洛磺,1
脑苷肌肽,1
fudr,1
5%葡萄糖,1
蛇毒血凝酶注射液,1
甲强龙,1
布地奈德,1
异丙托溴铵,1
泰索帝,1
头孢,1
甘精胰岛素,1
坎地沙坦酯片,1
人血白蛋白,1
脑苷激肽,1
神经节苷脂,1
清开灵,1
安定,1
fudr(氟脲苷),1
砝码新,1
他莫西芬,1
唑来磷酸,1
瑞宁德,1
健泽,1
唑来膦酸钠,1
盖宁,1
法玛新,1
瑞宁得,1
联苯两脂,1
dex,1
ead,1
两环醇,1
盖诺,1
美罗华,1
亚叶酸钙(同奥),1
日达仙,1
泼尼松,1
fdg,1
辰易,1
康士德,1
中人氟安,1
拜复乐,1
西黄丸,1
fu,1
脂质体多柔比星,1
"5-,fu",1
拓喜,1
超液化碘油,1
阿柏西普,1
替吉奥胶囊(艾奕),1
博安霉素,1
血脂康,1
善宁,1
表柔吡星,1
同澳,1
拜新同,1
亚莫利,1
右卡尼汀,1
洛索洛芬钠片,1
谷胱甘肽,1
哈乐,1
保列治,1
和爽,1
美林,1
胃炎颗粒,1
羟考酮,1
伊替立康,1
甘草合剂,1
艾司奥美拉唑镁肠溶片,1
特尔津,1
世福素,1
倍伐单抗,1
替普瑞酮胶囊,1
ifo,1
心痛定,1
忆迈林,1
塞维健,1
雷贝拉唑肠溶片,1
l-谷氨酰胺颗粒,1
珍菊降压片,1
布洛芬,1
西沙必利,1
酪丝亮肽,1
多吉美,1
头孢唑肟钠,1
缬沙坦,1
erbitux,1
亚胺培南,1
folfiri,1
氢氯噻嗪,1
二甲两胍缓释片,1
苯磺酸右旋氨氯地平,1
哌拉西林他坐巴坦,1
血必净,1
头孢唑肟,1
痰热清,1
富马酸比索洛尔片,1
辛伐他汀,1
坎地沙坦,1
卡维地洛,1
瑞舒伐他汀,1
依达拉奉,1
凝血酶粉,1
胎盘多肽,1
利尿剂,1
潘妥洛克,1
地高辛,1
依那普利,1
胺碘酮,1
丹参川芎嗪,1
曲美布汀,1
维三联+ppi,1
脂肪乳,1
氨基酸,1
杜密克,1
力素,1
索坦,1
xelox,1
奥硝唑氯化钠,1
西斯他丁钠粉针,1
伊立替康(开普拓),1
益保世灵,1
维生素d,1
钙片,1
铁剂,1
元胡止痛片,1
醋酸泼尼松片,1
卓迪,1
耐信片,1
艾达生,1
盐酸伊立替康注射液,1
高舒达,1
索拉菲尼(多吉美),1
cddp,1
栓塞微球,1
红源达,1
复方地茯口服液,1
长春胺缓释胶囊,1
培美曲塞,1
乳果糖,1
番泻叶,1
甘油灌肠剂,1
sp,1
特比澳,1
速尿,1
瑞戈非尼,1
紫衫,1
5%叒gw,1
他莫昔芬,1
赫赛丁,1
依西美坦片,1
善存,1
异丙嗪,1
苯海拉明,1
补佳乐,1
肛泰栓,1
复合磷酸氢钾,1
头孢哌酮钠,1
舒巴坦钠,1
比阿培南,1
替考拉宁,1
哌拉西林,1
他唑巴坦钠,1
施维舒,1
达喜,1
可定,1
盐酸曲马多,1
山莨菪碱,1
尼莫斯汀,1
柰达铂,1
雷尼替丁,1
胃必治,1
头孢美唑钠,1
cpt1,1
替勃龙,1
来立信,1
阿拉坦五味丸,1
常乐康,1
膜固思达,1
类克,1
呋塞米片,1
速碧林,1
螺内酯片,1
熊去氧胆酸胶囊,1
埃索美拉唑肠溶片,1
