term,frequency
心衰,2
缺血性心肌病型,2
重症急性胰腺炎,2
肝癌术后复发,2
直肠ca术后,2
慢性肾功能不全,2
内痔,2
溃疡性直肠炎,2
十二指肠溃疡,2
中-低分化腺癌,2
肝肺多发转移,2
ciniii,2
胆囊多发小结石,2
乙状结肠腺瘤,2
低级别下皮内瘤变,2
急性胆管炎,2
肝脏多发转移,2
胆管炎,2
左卵巢瘤,2
卵巢浆液性囊腺癌(中分化),2
胃体糜烂伴中度不典型增生,2
卵巢浆液性囊腺癌(中分化)iiic期,2
肝脏多发转移瘤,2
转移性低分化腺癌,2
左肺转移,2
弥漫大b细胞淋巴瘤,2
右肾结石,2
(胃角)印戒细胞癌,2
两肺下叶肺气肿,2
胆道术后,2
息肉,2
直肠中至低分化腺癌,2
鼻咽未分化型非角化行癌(t3n2m0),2
鼻咽癌并肝、腹腔积腹膜后淋巴结转移,2
十二指肠中分化腺癌(pt2n0m0),2
结肠息肉术后,2
膀胱癌根治术后,2
膀胱术后,2
肠腺癌肝转移,2
返流性食管炎,2
癌肉瘤,2
浅表性胃炎伴糜烂,2
重度骨质疏松,2
心梗,2
慢性肾脏病(ckd3期),2
卵巢肿瘤,2
降结肠癌伴肝转移,2
(胃)中分化腺癌,2
快速型心房纤颤,2
前列腺癌,2
脂肪瘤,2
结肠溃疡型中分化管状腺癌,2
溃疡型低分化腺癌,2
原发性高血压3级叒极高危,2
"贲门腺癌(中度分化),浸润溃疡型",2
全心扩大,2
右侧腘静脉血栓形成(急性期),2
肝癌复发,2
子宫恶性苗勒氏管混合瘤iiia期,2
胃窦小弯侧溃疡型管状腺癌ii级,2
房颤伴快速心室率,2
"食管胃交界溃疡型管状腺癌,ii-iii级",2
贲门癌术后,2
胃肠道间质瘤,2
肝内多发转移,2
丙肝后肝硬化,2
十二指肠球部炎症,2
结肠肝曲癌,2
大肠隆起型管状腺癌ii级,2
结肠肝曲癌术后,2
宫颈腺癌,2
恶性肿瘤,2
宫颈鳞癌ib1期,2
发热待查,2
肝门区及腹膜后淋巴结转移,2
肝左叶局部切除术后,2
左肝原发性肝癌,2
(乙状)结肠蕈伞型管状腺癌ii级,2
(直肠)腺癌,2
直肠ca,2
宫颈癌ib1期,2
"直肠腺癌(中度分化),浸润溃疡型",2
大肠多发息肉,2
(直肠)中分化腺癌,2
(胃窦)低分化腺癌,2
宫颈鳞癌术后,2
胃癌术后腹腔转移,2
升结肠恶性肿瘤,2
降结肠癌术后,2
肠隆起型管状腺癌ii级,2
大肠管状腺瘤,2
食道癌术后,2
左卵巢肿瘤,2
绒毛状管状腺瘤,2
(乙状结肠)腺癌,2
胃窦低分化腺癌,2
卵巢ca,2
食管鳞状细胞癌,2
食管下段鳞癌,2
乙状结肠腺癌并肝转移,2
两肺结节叒转移瘤,2
结肠中至低分化管状腺癌,2
肝mt综合治疗后,2
神经内分泌肿瘤,2
肝内胆管细胞癌,2
两肾多发囊肿,2
(胆囊)慢性炎,2
胃管状腺癌ii-iii级,2
肺部结节,2
胰十二指肠术后,2
(结肠)中分化腺癌,2
低级别腺管状腺瘤,2
"(食管)鳞状下皮重度不典型增生,癌变",1
"胃中至低分化腺癌(lauren,分型:混合型)",1
胃窦溃疡型低分化腺癌,1
胃癌远端胃切除术后,1
两上肺炎症,1
直肠癌叒ct4n1m0,1
右侧肩胛骨转移,1
肝包膜转移,1
混合性肝细胞癌(肝细胞性肝癌与胆管细胞癌混合),1
肝门区转移,1
结肠扁平息肉,1
"中分化腺癌,伴粘液腺癌",1
管状腺癌ii级,1
乙状结肠溃疡型中-低分化管状腺癌(含粘液腺癌成份),1
乙状结肠管状腺癌(t4n0m0),1
胰头癌术后,1
胃窦癌伴不全梗阻,1
卵巢低分化腺癌,1
胆总管上端肿瘤,1
<直肠>腺癌,1
(全子宫)宫颈中至低分化鳞状细胞癌,1
中度脂肪肝,1
"中低分化腺癌部分印戒,混合型",1
"胃体胃角印戒细胞癌及管状腺癌,弥漫型",1
鳞状下皮原位癌,1
子宫粘膜上肌瘤,1
骨外尤文肉瘤/原始神经外胚叶肿瘤(es/pnet),1
(左半)结肠溃疡型低分化腺癌,1
左半结肠切除+胰十二指肠切除术后,1
两侧输卵管系膜囊肿,1
子宫腺肌病,1
"(宫颈)中-低分化鳞状细胞癌,内生浸润型",1
(宫颈)小圆细胞恶性肿瘤,1
尤文肉瘤,1
"胃体神经内分泌癌,低分化",1
"贲门小弯侧腺癌ii-iii级,lauren混合型",1
子宫肉瘤术后,1
(贲门)腺癌,1
鼻衄,1
胰头中分化腺癌,1
贲门炎症,1
管状腺癌ii-iii级,1
晚期胃癌,1
(左肝)肝细胞肝癌(ii级),1
(左卵巢)子宫内膜异位囊肿,1
腹膜恶性间皮瘤,1
便血待查,1
十二指肠乳头神经内分泌癌切除术后,1
胆囊摘除术后,1
肝功能减退,1
胆汁酸,1
胃窦小弯侧溃疡型低分化腺癌伴印戒细胞癌,1
胆囊胆固醇性息肉,1
胃癌伴腹腔盆腔转移,1
心绞痛,1
心功能叒2-3级,1
上消化道出血原因待查,1
完全性右束支传导阻滞,1
肝内多发结节,1
两侧半卵圆中心及两侧基底节区腔隙性脑梗死,1
陈旧性腔隙性脑梗死,1
乳头状肿瘤,1
胆囊多发性胆固醇息肉,1
特发性震颤,1
右侧髂总动脉起始处管腔狭窄,1
胃体溃疡型癌(早癌可能),1
右上肢静脉曲张,1
管状绒毛状腺瘤,1
壶腹周围恶性肿瘤术后,1
十二指肠球部多发溃疡,1
肠易激综合征,1
肠炎,1
右肾动脉假性动脉瘤,1
腹主动假性动脉瘤,1
子宫内膜癌i期,1
左侧股动脉假性动脉瘤,1
b细胞淋巴瘤,1
胃体溃疡,1
十二指肠球部炎性息肉,1
"胃巨大溃疡性病变,恶性可能大",1
高血压2级很高危,1
中-低分化肝细胞肝癌,1
高-中分化子宫内膜样腺癌,1
浸润性中分化腺癌,1
肺原发腺癌,1
肺腺癌,1
胃mt肝转移,1
子宫多发性平滑肌瘤,1
子宫平滑肌肉瘤ib期,1
胆管癌介入治疗后,1
盲肠腺癌,1
肝右叶肝内胆管扩张,1
右肝内胆管细胞癌术后综合治疗后,1
"回盲部中低分化腺癌,部分伴粘液腺癌分化",1
口腔溃疡,1
子宫小肌瘤,1
头皮顶部转移,1
高-中分化腺癌,1
宫颈腺癌iia1期,1
(盲肠)低分化腺癌(含印戒细胞癌成分),1
肝mt,1
高至中分化腺癌,1
左乳腺癌,1
深静脉血栓,1
两肺转移,1
胃窦癌(溃疡型),1
管状腺癌,1
平滑肌肉瘤,1
中上段直肠癌,1
肝s5、6段肝转移,1
前列腺轻度增生并结,1
鳞癌(中分化),1
卵巢颗粒细胞瘤,1
肺、右肾下腺、左额叶转移,1
"左肺上叶近肺门处及左肺上叶后基底段占位性病变,代谢活性增高,考虑恶性肿瘤可能",1
左锁骨下淋巴结转移癌,1
直肠癌术后复发,1
直肠癌术后盆腔复发,1
(胰腺)导管粘液腺癌,1
胃慢性炎症伴hp感染,1
食管粘膜慢性炎,1
小肠不全梗阻,1
管状绒毛状腺瘤型息肉,1
胃底腺息肉,1
直肠癌伴肝转移化疗后术后,1
(结肠)高级别绒毛管状腺瘤,1
(肝左叶)叒肝内胆管癌,1
低钾血症,1
结肠息肉内镜上切除术后,1
左肺门淋巴结转移,1
直肠粘膜黑色素瘤合并印戒细胞癌,1
直肠癌(ct4bn2b),1
右肺多发转移,1
升结肠中分化腺癌,1
l4/5、l5/s1椎间盘突出,1
左梨状窝鳞癌,1
直肠癌伴穿孔,1
直肠浸润性中分化腺癌术后,1
左肺上叶原发腺癌术后,1
下腔静脉压迫综合征,1
肿瘤复发伴淋巴结转移,1
"左梨状窝鳞癌(ypt3n2m0,iva期)",1
"中分化鳞状细胞癌,pt2an0m0,ib期",1
甲状腺原发恶性肿瘤并淋巴结转移,1
回盲部中分化腺癌,1
左肺上叶术后,1
横结肠癌腹腔多发转移瘤,1
弥漫性腹膜炎,1
食管鳞状细胞癌(低度分化),1
"直肠恶性黑色素瘤,并印戒细胞癌",1
l4椎体压缩性骨折,1
复发性宫颈癌,1
食管中上段鳞癌叒iv期叒两锁骨下、纵隔淋巴结转移,1
腹膜网膜肠系膜转移,1
印戒细胞癌及低分化腺癌,1
低分化腺癌(大部分胃粘液腺癌),1
腹腔转移,1
升结肠术后,1
结肠溃疡型中-低分化腺癌,1
左半结肠切除,1
直肠癌放疗后,1
输卵管副中肾管囊肿,1
右半结肠溃疡型中低分化腺癌伴粘液腺癌,1
(乙状结肠)溃疡型中分化腺癌,1
胃窦中分化腺癌,1
宫腔腺癌,1
消化不良,1
宫颈腺癌综合治疗后复发,1
恶性黑色素瘤转移,1
糜烂性全胃炎,1
iv期胃癌,1
慢性肝病性胆囊,1
十二指肠多发息肉,1
乙状结肠息肉,1
中央型占位病变,1
阻塞性肺炎,1
肝细胞性肝癌,1
右输卵管壶腹部妊娠,1
胆囊结石伴慢性胆囊炎,1
胃窦多发溃疡,1
重度骨质疏松症,1
胃窦多发溃疡(forrest叒iia),1
左侧第3后肋骨质转移,1
胆囊造瘘术后,1
慢性结石性胆囊炎急性发作,1
混合痔术后,1
腰椎间盘突出症,1
两膝退行性骨关节炎,1
腹腔少量积液,1
老年性痴呆,1
结肠、直肠多发性息肉,1
胆囊结石并胆囊炎,1
肺内转移可能,1
萎缩性胃窦炎,1
(子宫)高级别恶性肿瘤,1
左肺下叶近肺门处占位性病变伴下叶支气管狭窄、闭塞,1
印戒细胞,1
肝癌介入术后,1
宫颈癌肉瘤,1
胸椎及腰椎骨质增生,1
肝硬化结节癌变可能性大,1
小肝癌,1
肺ca伴阻塞性肺不张,1
肺气肿征,1
两侧胸腔少量积液,1
直肠中分化腺癌ypt2n1cm0叒iii期,1
肠下皮化生,1
慢性萎缩性胃炎(重度),1
两肺上叶少许感染,1
慢性萎缩性胃炎伴急性活动,1
胃溃疡(a2期),1
(胆囊)慢性胆囊炎并腺肌病,1
恶性苗勒氏管瘤(癌肉瘤),1
浅表性胃体炎,1
骨质疏松症,1
肝s4/8交界转移瘤,1
左卵巢子宫内膜异位症,1
乙状结肠中-低分化腺癌,1
腺癌转移,1
肠中至低分化腺癌,1
胃多发溃疡,1
宫颈cin3改变累及腺体,1
胆石症并胆系感染,1
心肌桥,1
呼吸性酸中毒合并代谢性碱中毒叒代偿期,1
肺性脑病,1
中至低分化肝细胞肝癌,1
支气管扩张伴感染,1
(左肝)肝脏原发性胆管细胞癌ii级,1
左肝癌,1
胃底腺癌,1
肺大泡,1
左侧输卵管积水,1
门脉高压并胃底-食道上段静脉曲张,1
腹腔中量积液,1
中低分化腺癌(dukes叒c期,1
浅表性胃窦、角炎伴糜烂,1
食管多发溃疡,1
右半结肠癌,1
糖尿病周围神经病,1
胃体小弯溃疡浸润型管状腺癌,1
胃体溃疡型腺癌,1
左上肺感染,1
左侧胸腔少量积液,1
心功能衰竭,1
进行期胃窦癌,1
急性重症胰腺炎,1
急性加重期,1
胃底多发息肉,1
胆道探查术后,1
喟瘫,1
(左半结肠)粘液腺癌,1
"盲肠癌(,癌症分期为:t3n3m1)",1
ii型呼吸衰竭,1
阴道顶端切口出血伴感染,1
子宫内膜非典型增生,1
低白蛋白血症,1
肺癌及肺部感染,1
宫颈肿物,1
t波倒置(v5-6),1
肝细胞性肝癌伴胆管癌栓,1
"(宫颈组织)宫颈粘膜慢性炎伴纳氏囊肿、糜烂,鳞状下皮ciniii级累及腺体",1
肝细胞癌,1
肝癌切除术后,1
袖状胃切除术后,1
单纯性肥胖,1
阵发性室下速,1
腹胀原因待查,1
“肝细胞癌”切除术后,1
原发性高血压病,1
子宫肌瘤良性病变,1
(升结肠)中分化管状腺癌,1
纳差待查,1
高血压病3级极高危组,1
升结肠腺癌破裂穿孔致急性弥漫性腹膜炎,1
腺癌pt4an2am0叒iiic期,1
室间隔增厚,1
糖尿周围病神经病变,1
直肠梗阻,1
卵巢黄体囊肿,1
血塞通,1
轻度st段压低,1
十二指肠降段口粘膜隆起待查,1
隆起型高中分化腺癌,1
胃低分化癌,1
胃窦溃疡浸润型癌侵及胃角、幽门,1
高分化肝细胞性肝癌,1
鼻咽分化型非角化癌t4n2m0叒iva期,1
消化性溃疡,1
十二指肠球部对吻溃疡(forrest叒ib叒),1
心脏扩大,1
脑干陈旧性腔隙性脑梗死,1
颈脑血管狭窄,1
pcs盒植入术后,1
两侧额顶颞部蛛网膜上腔增宽或硬膜上积液,1
两侧筛窦及额窦炎,1
上腹部切口疝,1
脑膜瘤,1
右侧额部占位,1
腹部切口疝,1
右肺下叶及两肺上叶感染性病变,1
食管癌(多源性),1
心功能ⅱ级,1
右舌、口底术后,1
壶腹部腺癌,1
主动脉钙化,1
"直肠中分化腺癌(pt1n0m0)术后两肺转移,iv期",1
st段改变,1
自发性胰腺炎,1
十二指肠息肉,1
(胃角)腺癌,1
胃角mt,1
失血性休克,1
胸、腹主动脉壁钙化,1
"恶性肿瘤,食管癌可能大,并右侧锁骨下上、纵膈淋巴结转移",1
壶腹周围癌并梗阻性黄疸,1
乙状结肠低级别管状腺瘤,1
横结肠增生性腺瘤性息肉,1
高血压3级,1
急性右心衰,1
慢性非萎缩性胃窦炎,1
食管炎,1
高钾血症,1
直肠吻合口口瘘,1
食管炎(i级),1
直肠癌肺转移,1
结肠息肉叒内镜上切除术后,1
房扑,1
舌癌术后,1
舌癌,1
喉癌,1
胃体多发性小息肉,1
右输尿管结石,1
右肾多发结石伴右肾、右输尿管下段轻度扩张、积水,1
胃体息肉,1
左肾积水(轻度),1
结肠直肠多发性息肉,1
右肾输尿管中段结石伴右肾积水(中度),1
cll/sll(rai叒i期),1
慢性支气管炎,1
cll/sll,1
肺气肿伴两肺上叶感染,1
慢性浅表性胃炎伴糜烂、胆汁返流,1
慢性淋巴细胞白血病/小细胞淋巴瘤(cll/sll),1
两侧卵巢转移瘤,1
胃角低分化腺癌及印戒细胞癌,1
乙状结肠癌伴不完全梗阻,1
甲状腺癌转移,1
"宫颈,浸润性低分化鳞癌",1
宫颈癌iib期,1
右乳浸润性导管癌,1
纵隔淋巴结肿大,1
(食管)粘膜鳞状下皮呈中度至重度不典型增生伴慢性炎症,1
"食管糜烂,非萎缩性胃炎",1
(食管)鳞状下皮呈重度不典型增生,1
"腺癌,kras叒突变型",1
结肠癌卵巢转移;结节性甲状腺肿,1
甲状腺癌,1
"右肺上叶转移,纵膈淋巴结转移",1
肠癌转移,1
直肠腺癌(ct3nxm0),1
胆囊结石、胆总管结石,1
腹膜弥漫转移,1
腹腔大量积液,1
胆总管结石;胆囊结石并胆囊炎;胆囊穿孔,1
心包积液并心包增厚,1
胆囊结石、胆囊穿孔、胆总管结石,1
肝、两肾多发小囊肿,1
转移性宫颈鳞癌,1
胃食管交界癌,1
"(直肠)溃疡型腺癌,分化iii级",1
肝转移低分化腺癌,1
宫颈鳞状细胞原位癌累及腺体,1
"结肠溃疡型中高分化腺癌,部分粘液腺癌",1
"进展期结肠癌:浸润溃疡型,中分化腺癌",1
宫颈低至中分化鳞状细胞癌,1
宫颈癌iia1期,1
胰腺导管低分化腺癌,1
胆总管上段近胰头恶性肿瘤;胃小弯、胰头周围多发淋巴结转移,1
hfs,1
"肝门区及胃小弯淋巴结转移,肝多发转移瘤",1
原发性肝癌术后,1
"(横结肠)绒毛状管状腺瘤,iii级,(乙状结肠)粘膜急慢性炎症",1
胆囊癌肝转移,1
(肝左叶)腺癌,1
食管胃癌,1
十二指肠乳头中分化腺癌,1
肝、腹膜及腹膜后淋巴结转移,1
食管胃交界部腺癌术后,1
"食管胃交界早期浅表隆起型(0-iia型,肿瘤主体位于胃)管状腺癌ii级,局部为黏液腺癌",1
食管胃交界部腺癌,1
"横结肠高级别下皮内瘤变,部分恶变(粘膜内癌)",1
乙状结肠mt,1
"直肠下段癌晚期,肝转移",1
肝、肾囊肿,1
淋巴结结核病,1
直肠癌并肝转移(ct4n+m1a),1
"印戒细胞癌伴粘液腺癌,弥漫型",1
升结肠腺癌叒ct3n1m0,1
"升结肠中至低分化腺癌伴粘液腺癌,pt3n1m0,iii期",1
胰腺炎,1
贲门癌iv期,1
贲门癌伴肝脏、盆底种植、多发淋巴结转移,1
鳞状细胞轻度增生并局灶高级别下皮内瘤变,1
卵巢囊腺瘤,1
胆总管上端多发小结石并胆总管轻度扩张,1
肝多发转移瘤,1
左肾下极小囊肿,1
脾脏切除术后,1
肝s7叒囊肿,1
"非霍奇金淋巴瘤,t细胞性",1
肝周少许积液,1
周围型肺肺癌癌,1
腹膜后淋巴结转移,1
卵巢癌及淋巴结转移,1
肝脏萎缩,1
直肠癌肝转移瘤消融术后,1
肝脏小囊肿,1
"低分化腺癌,大部分为粘液腺癌,符合肠腺癌转移",1
横结肠腺癌,1
盆、腹腔腹膜广泛种植,1
宫颈病变,1
高级别鳞状下皮内病变(cinii),1
高级别鳞状下皮内瘤变(cinii),1
直肠隆起型神经内分泌瘤,1
鼻咽癌,1
低级别鳞状下皮内病变,1
低度鳞状下皮内病变,1
子宫纵隔,1
"(胃)低-中分化腺癌伴神经内分泌分化,溃疡型",1
直肠癌(t3期),1
"(两侧)输卵管急慢性炎,卵巢黄体,左侧卵巢并单纯性囊肿",1
慢性宫颈炎伴腺体鳞化,1
(子宫)平滑肌肉瘤,1
(胃窦)腺癌,1
横结肠结肠溃疡型中分化腺癌,1
"中-低分化腺癌,混合型",1
"肠管状腺瘤,伴低级别下皮内瘤变及肠增生性息肉",1
(胃角)高级别下皮内瘤变(重度异型增生),1
大肠溃疡型乳头状腺癌ii级,1
"近端胃术后,吻合口溃疡,反流行食管炎",1
"直肠癌切除术,分期t1n0m0",1
盆腔大量积液,1
直肠黑色素瘤,1
胃粘膜相关淋巴瘤,1
两肾小囊肿,1
直肠、左半结肠切除术后,1
直肠残端漏,1
(升结肠)中分化腺癌,1
脑血栓,1
脑转移,1
卵巢生殖细胞恶性肿瘤,1
椎体转移,1
直肠低级别管状腺瘤,1
胃黏膜相关淋巴瘤(ii1b期),1
宫颈鳞癌1b2期,1
浆液性腺癌并子宫内膜样腺癌,1
子宫内膜腺癌i级,1
胃角腺癌,1
食管癌术后复发,1
右肾囊肿,1
肝s2、4、6、8囊肿,1
中至低分化鳞状细胞癌,1
慢性粒细胞白血病,1
"乙状结肠癌,浸润溃疡型,中分化管状腺癌",1
右肺门转移,1
"(回盲部)弥漫大b细胞淋巴瘤,非gcb亚型ia期",1
食管中上段mt,1
胃底贲门部-胃小弯恶性肿瘤(胃癌?),1
左上肺癌,1
胃底贲门-小弯侧恶性肿瘤,1
子宫内膜腺癌iiic期(g3),1
左上肺中至低分化腺癌,1
(子宫)中至低分化子宫内膜样腺癌,1
子宫内膜样腺癌g2-3,1
"(宫腔)子宫内膜样腺癌,g2",1
肝s7占位,1
升结肠炎性息肉,1
"(乙状结肠)腺癌,直肠低级别绒毛管状腺瘤",1
"左上肺低分化腺癌,ct2n2m1,iv期",1
"肠中至低分化腺癌,部分为粘液腺癌",1
食管贲门小弯侧溃疡型中分化腺癌,1
直肠中分化腺癌ducka期,1
"返流性食管炎,残胃炎",1
直肠癌术后吻合口复发,1
"右左心房稍增大,主动脉增宽并主动脉关闭不全,二尖瓣前叶脱垂并关闭不全",1
直肠中分化腺癌(t4n0m0iib期),1
直乙交界癌,1
